"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR","1",8,0,0,2.23499265939023e-05,2.27451956440677e-05,3.9788918703362e-06,17.8027066604405
"PR","2",8,0,0,1.96322716222848e-05,2.24310946347388e-05,5.09052673363376e-06,25.9293821498244
