"PCo1","PCo2","sample_name","Groups"
-0.000606375325625349,-0.0120652447513712,"S41_neg.mzML","Healthy"
0.0264531513197447,0.0985488294459733,"S42_neg.mzML","Healthy"
-0.0959381974631388,-0.0271196148060976,"S43_neg.mzML","Healthy"
-0.0889451513023179,0.0579674238338545,"S46_neg.mzML","Healthy"
0.0561289793498792,-0.0296291759825819,"S01_neg.mzML","TR1"
-0.0210854819270312,-0.0282117743928653,"S02_neg.mzML","TR1"
-0.0135099939885347,-0.00318611627200145,"S03_neg.mzML","TR1"
0.0742637604014363,-0.00802377853303541,"S04_neg.mzML","TR1"
0.0438670218747587,0.0653797992270204,"S05_neg.mzML","TR1"
0.0684733525437352,-0.0949211505543677,"S06_neg.mzML","TR1"
-0.032550530631009,-0.0537334381747587,"S07_neg.mzML","TR1"
-0.0201266817919844,0.0567172516555702,"S08_neg.mzML","TR1"
-0.079799218753733,-0.0495392929186501,"S09_neg.mzML","TR1"
0.00709853740719177,0.0430293111640051,"S10_neg.mzML","TR1"
0.0682537639997022,-0.0286049751615515,"S11_neg.mzML","TR2"
0.0178717249779105,0.018963569424737,"S12_neg.mzML","TR2"
-0.06472562181781,-0.00332198984601949,"S13_neg.mzML","TR2"
0.0150011645818841,0.0143410558009296,"S14_neg.mzML","TR2"
-0.011020972957205,0.0845859967791055,"S15_neg.mzML","TR2"
0.0525674989155553,0.0245915750212498,"S16_neg.mzML","TR2"
0.0310098166488275,-0.0293093493241657,"S17_neg.mzML","TR2"
0.0388492765888111,-0.00963670988129595,"S18_neg.mzML","TR2"
0.0074942337501137,-0.0511875650457387,"S19_neg.mzML","TR2"
-0.0790240564011611,-0.0356346367079445,"S20_neg.mzML","TR2"
