"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR","1",9,0,0,3.76956074660278e-05,4.33932022757959e-05,1.31881072915988e-05,34.9857932478849
"PR","2",9,0,0,4.92133810384237e-05,3.46301052569926e-05,3.42929908090444e-05,69.6822491880204
