"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR","1",9,0,0,0.00013230514861574,0.000134456177003558,2.79736286753104e-05,21.1432653740146
"PR","2",9,0,0,0.000129975965588861,0.000138285271124368,1.72793724705557e-05,13.2942828254984
