"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR","1",9,0,0,0.0015761218704087,0.000910270712122783,0.00139746562765029,88.6648205248191
"PR","2",9,0,0,0.00149755715469114,0.000744938144770799,0.00144686502613909,96.6150120953141
