"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR","1",9,0,0,2.32377020123424e-05,1.57677227829876e-05,1.56285400643387e-05,67.2551014555474
"PR","2",9,0,0,1.15027703331964e-05,1.10131599950494e-05,8.56346019097024e-06,74.4469370674695
