"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"5787_321.166_14.83","PC18",-0.00907805405820182,29.6016296915236,5.44073797306244,0.02945,0.97261
"5787_321.166_14.83","PC19",0.0645449630826488,27.5290398230452,5.24681234875474,0.02739,1
"5787_321.166_14.83","PC20",0.0372685296563248,2.18128254330647e-28,1.47691656612906e-14,0,1
"8424_326.3413_16.41","PC1",0.0412205907378428,137.761605277542,11.7371889853381,0.13708,0.13708
"8424_326.3413_16.41","PC2",0.0285201318318205,99.2048551788554,9.96016341125262,0.09871,0.23579
"8424_326.3413_16.41","PC3",-0.0496835067638798,81.4278507363094,9.02373817972958,0.08102,0.31681
"8424_326.3413_16.41","PC4",-0.0204413102902191,71.3316997312908,8.44580959596478,0.07098,0.38779
"8424_326.3413_16.41","PC5",0.00849653997039776,62.7887293790275,7.92393395852259,0.06248,0.45026
"8424_326.3413_16.41","PC6",0.0251755320460569,59.3428666063866,7.70343213161423,0.05905,0.50931
"8424_326.3413_16.41","PC7",-0.0193956573828303,54.6633922937423,7.39346957075921,0.05439,0.5637
"8424_326.3413_16.41","PC8",0.024377662555227,48.2085770568968,6.9432396658114,0.04797,0.61167
"8424_326.3413_16.41","PC9",0.00559964390005708,44.9770260701276,6.70649133825786,0.04475,0.65642
"8424_326.3413_16.41","PC10",-0.012141024782554,41.9294712958308,6.47529700444936,0.04172,0.69815
"8424_326.3413_16.41","PC11",0.00227684277551162,40.6997974306636,6.37963928687693,0.0405,0.73864
"8424_326.3413_16.41","PC12",0.0378356882525495,37.1724199589096,6.09691889062907,0.03699,0.77563
"8424_326.3413_16.41","PC13",-0.0321777357600156,36.4728013884555,6.0392715941954,0.03629,0.81192
"8424_326.3413_16.41","PC14",0.0161260568116143,34.4080723148378,5.86583943820812,0.03424,0.84616
"8424_326.3413_16.41","PC15",-0.0653149945339328,33.4380558804057,5.78256481852177,0.03327,0.87943
"8424_326.3413_16.41","PC16",-0.0399188229978872,32.9309100423984,5.73854598678083,0.03277,0.9122
"8424_326.3413_16.41","PC17",-0.00199741547076946,31.1111998437511,5.57774146440574,0.03096,0.94315
"8424_326.3413_16.41","PC18",0.034544939344434,29.6016296915236,5.44073797306244,0.02945,0.97261
"8424_326.3413_16.41","PC19",0.0299938636338289,27.5290398230452,5.24681234875474,0.02739,1
"8424_326.3413_16.41","PC20",0.00177209741472432,2.18128254330647e-28,1.47691656612906e-14,0,1
"5129_326.3776_14.1","PC1",0.0281764135597948,137.761605277542,11.7371889853381,0.13708,0.13708
