row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,fold_change,log2_fold_change,significance
8623,105.04261211978,16.636168,0.014266186701446927,36,8,0.55229676987328,1,0.5,0.005144468184675082,0.0014342118076308187,0.27878718579759315,-1.8427638443378687,Not Significant
7250,105.042613688531,15.561385,0.014266186701446927,0,8,0.55229676987328,1,-0.5,0.0017269612684604676,0.002450117007421818,1.4187446193312843,0.5046149209118924,Not Significant
5166,153.090891502031,14.12925,0.014266186701446927,0,8,0.55229676987328,1,-0.5,1.2013189968629056e-4,1.5627874742427377e-4,1.3008930003802168,0.37950230397030466,Not Significant
9543,153.993201746574,17.042652,0.014266186701446927,0,8,0.55229676987328,1,-0.5,0.00108189426333474,0.001170162673838665,1.0815869105654132,0.11314959724990026,Not Significant
9886,186.956054567928,17.379776,0.014266186701446927,36,8,0.55229676987328,1,0.5,0.005615844737776962,0.005163090577712626,0.9193791528781547,-0.12126814178495218,Not Significant
10088,186.956164343144,19.315056,0.014266186701446927,0,8,0.55229676987328,1,-0.5,2.95018901231111e-4,4.499804523845787e-4,1.5252597393143785,0.6090549428149932,Not Significant
4524,214.252645390313,12.8056755,0.014266186701446927,0,8,0.55229676987328,1,-0.5,1.3957355499354874e-4,1.6288451427679126e-4,1.1670155874751487,0.2228238308163954,Not Significant
5392,235.168959158046,14.365434,0.014266186701446927,0,8,0.55229676987328,1,-0.5,1.2318371634173627e-4,1.396382041304525e-4,1.133576809316811,0.18088214905500064,Not Significant
7478,265.252177358697,15.699059,0.014266186701446927,36,8,0.55229676987328,1,0.5,3.207240724226447e-5,1.9386617868251734e-5,0.6044640716180599,-0.7262715043606522,Not Significant
5278,327.07748283932,14.197751,0.014266186701446927,0,8,0.55229676987328,1,-0.5,9.68076471002175e-4,0.0010552687920360527,1.0900675965645712,0.12441760124505846,Not Significant
7673,383.215403757607,15.810645,0.014266186701446927,36,8,0.55229676987328,1,0.5,6.104365765300747e-5,4.739981276260967e-5,0.7764903772976061,-0.36496004884663896,Not Significant
5290,398.214378781311,14.131534,0.014266186701446927,0,8,0.55229676987328,1,-0.5,7.974865015476736e-4,0.0011122617639887013,1.3947092042688454,0.47996435266952053,Not Significant
5188,414.188240937343,14.136311,0.014266186701446927,0,8,0.55229676987328,1,-0.5,2.487105366038263e-4,3.3277975292956126e-4,1.3380203246461155,0.42010003081005676,Not Significant
8500,579.425593645022,16.503954,0.014266186701446927,0,8,0.55229676987328,1,-0.5,9.106254745501013e-5,1.083448644454307e-4,1.1897851254266631,0.2507010470857707,Not Significant
8255,610.183243264451,16.1421,0.014266186701446927,36,8,0.55229676987328,1,0.5,7.216350978729687e-5,1.6936533922422532e-5,0.23469664893438863,-2.0911308520899934,Not Significant
8617,680.479092082641,16.621569,0.014266186701446927,36,8,0.55229676987328,1,0.5,2.040945889986135e-5,9.51712700882369e-6,0.46630961925640974,-1.1006399043037411,Not Significant
9456,106.029091972106,17.035973,0.020862582332765507,1,8,0.55229676987328,1,-0.4722222222222222,7.442115619576365e-5,8.783969948449552e-5,1.1803054934195676,0.2391603145022741,Not Significant
3728,107.070566415356,7.6914015,0.020862582332765507,1,8,0.55229676987328,1,-0.4722222222222222,1.9250045397620249e-4,3.3317886827254127e-4,1.730795233936071,0.7914350531510055,Not Significant
7512,114.066395130291,15.701696,0.020862582332765507,35,8,0.55229676987328,1,0.4722222222222222,1.2796469776846047e-4,7.951962754395058e-5,0.6214184765851088,-0.6863629572553788,Not Significant
6082,119.085642417533,15.000012,0.020862582332765507,35,8,0.55229676987328,1,0.4722222222222222,9.600949808763679e-5,8.72791848311572e-5,0.9090682335563236,-0.13753950946815982,Not Significant
9197,125.972274659591,17.018482,0.020862582332765507,35,8,0.55229676987328,1,0.4722222222222222,1.80756036537365e-4,1.7119905276812746e-4,0.9471277200346115,-0.07836910885979581,Not Significant
4538,149.023267419053,12.859127,0.020862582332765507,1,8,0.55229676987328,1,-0.4722222222222222,1.1582044309454001e-4,1.328768585622723e-4,1.1472660180881,0.19819994974860827,Not Significant
5872,173.117103644713,14.999902,0.020862582332765507,35,8,0.55229676987328,1,0.4722222222222222,3.1806346196709874e-4,2.874534684099262e-4,0.9037613645784346,-0.14598621117175242,Not Significant
9836,182.984994081229,17.42947,0.020862582332765507,35,8,0.55229676987328,1,0.4722222222222222,0.01550775774626402,0.004142843241193359,0.2671465023492138,-1.9042969662779634,Not Significant
9490,185.023182295454,17.037457,0.020862582332765507,1,8,0.55229676987328,1,-0.4722222222222222,1.4484108754338624e-4,1.62158267726485e-4,1.1195598602358705,0.16293166776769738,Not Significant
5375,204.138105892807,14.331266,0.020862582332765507,1,8,0.55229676987328,1,-0.4722222222222222,7.346796052681219e-5,8.513490039935638e-5,1.158803099866728,0.21263544902055206,Not Significant
9180,220.53808340304101,17.01467,0.020862582332765507,35,8,0.55229676987328,1,0.4722222222222222,1.0567184980064294e-4,9.221148407508327e-5,0.8726210835624288,-0.19657276352511538,Not Significant
5310,267.171545454991,14.239476,0.020862582332765507,1,8,0.55229676987328,1,-0.4722222222222222,3.061743399681688e-4,3.4083027450818374e-4,1.113190199229687,0.15470011203496892,Not Significant
5069,280.263083313836,14.019282,0.020862582332765507,1,8,0.55229676987328,1,-0.4722222222222222,9.971463362048516e-5,1.2956155262455873e-4,1.2993233582712767,0.37776051417341366,Not Significant
