"PC1","PC2","sample_name","Groups"
-7.00823381644763,0.316245624333261,"S41_pos.mzML","Healthy"
11.5320790532313,-7.30171769835771,"S42_pos.mzML","Healthy"
-10.274456889251,-2.65101627681578,"S43_pos.mzML","Healthy"
-0.844634232264431,-13.7375232483001,"S46_pos.mzML","Healthy"
4.28720664365694,25.1793470135891,"S21_pos.mzML","PR1"
10.0922060485677,7.94561192195769,"S22_pos.mzML","PR1"
-3.71217351915938,2.95832446277315,"S23_pos.mzML","PR1"
-4.36364605338088,-1.06611746172662,"S24_pos.mzML","PR1"
-1.45617278350239,-4.51046753226177,"S26_pos.mzML","PR1"
1.10000074769152,22.3518001693039,"S27_pos.mzML","PR1"
-5.16529647405243,5.63634163189178,"S28_pos.mzML","PR1"
-9.47415524157853,0.139853107069471,"S29_pos.mzML","PR1"
-5.55106935953289,-2.52393009223096,"S30_pos.mzML","PR1"
4.82263041386162,-3.92073013103431,"S31_pos.mzML","PR2"
-7.700874477195,1.68083521132791,"S32_pos.mzML","PR2"
2.68274625888319,3.51255141539066,"S34_pos.mzML","PR2"
35.1415146309192,18.399985467299,"S35_pos.mzML","PR2"
19.6131273563662,-3.75565374661462,"S36_pos.mzML","PR2"
-4.42066591951177,5.128894154865,"S37_pos.mzML","PR2"
21.1163235997365,2.39506851947357,"S38_pos.mzML","PR2"
18.7833986277179,-15.5914786101634,"S39_pos.mzML","PR2"
-8.35083028847957,4.60910086144642,"S40_pos.mzML","PR2"
-3.21748343976731,1.11551935069002,"S01_pos.mzML","TR1"
-6.09771132413339,3.92495990926286,"S02_pos.mzML","TR1"
-7.71713135300632,-0.726967333395439,"S03_pos.mzML","TR1"
-3.65905900836268,1.08248245389341,"S04_pos.mzML","TR1"
-11.2806169528947,1.51337222942705,"S05_pos.mzML","TR1"
1.14490411542292,-13.6428836349328,"S06_pos.mzML","TR1"
-9.26569272710921,0.00762035419766149,"S07_pos.mzML","TR1"
-7.11003011020474,6.62265684602904,"S08_pos.mzML","TR1"
4.00773078278774,-18.2820985988752,"S09_pos.mzML","TR1"
-6.97068877679788,5.66835922404158,"S10_pos.mzML","TR1"
-4.65965200323719,-1.56000015632836,"S11_pos.mzML","TR2"
-3.43846187620601,3.46764165932634,"S12_pos.mzML","TR2"
-6.20254134842894,1.8820962569979,"S13_pos.mzML","TR2"
-11.534542327608,-1.66211645354328,"S14_pos.mzML","TR2"
-7.42188946348721,-3.56444787824921,"S15_pos.mzML","TR2"
-7.96101533795459,4.29441637860247,"S16_pos.mzML","TR2"
5.87951704012663,-3.66046964681408,"S17_pos.mzML","TR2"
-0.10411591697249,-19.4486052201176,"S18_pos.mzML","TR2"
16.7901139629571,-6.31356342074551,"S19_pos.mzML","TR2"
7.96934173860003,-5.91329708268266,"S20_pos.mzML","TR2"
