"","Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"1","PR1",10,0,0,0.000455739909980524,0.000446356653026981,0.000152025560915986,33.4
"2","PR2",9,0,0,0.00028867475597971,0.000274691079543459,0.000201146752169855,69.7
"3","Healthy",4,0,0,0.000198242805522201,0.000193349003454826,4.48006723571732e-05,22.6
"4","TR1",10,0,0,0.00019805041641773,0.000177335485030161,0.000133485961042627,67.4
"5","TR2",10,0,0,0.000270002255493462,0.000138581558184445,0.000286032314412896,105.9
