"","Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"1","TR1",10,0,0,0.0151847969810824,0.0137864239116547,0.00624989093025579,41.2
"2","Healthy",4,0,0,0.0124017419144541,0.0120217676714124,0.00506553329780988,40.8
"3","TR2",10,0,0,0.00935103344857314,0.0110296495510546,0.00421397783089332,45.1
"4","PR1",10,0,0,0.0120171788138594,0.0106742900287076,0.00452458416957459,37.7
"5","PR2",9,0,0,0.00795147819939676,0.00787769233155131,0.00457688323767257,57.6
