row ID,row m/z,row retention time,Blank_neg.mzML Peak area,S01_neg.mzML Peak area,S02_neg.mzML Peak area,S03_neg.mzML Peak area,S04_neg.mzML Peak area,S05_neg.mzML Peak area,S06_neg.mzML Peak area,S07_neg.mzML Peak area,S08_neg.mzML Peak area,S09_neg.mzML Peak area,S10_neg.mzML Peak area,S11_neg.mzML Peak area,S12_neg.mzML Peak area,S13_neg.mzML Peak area,S14_neg.mzML Peak area,S15_neg.mzML Peak area,S16_neg.mzML Peak area,S17_neg.mzML Peak area,S18_neg.mzML Peak area,S19_neg.mzML Peak area,S20_neg.mzML Peak area,S21_neg.mzML Peak area,S22_neg.mzML Peak area,S23_neg.mzML Peak area,S24_neg.mzML Peak area,S25_neg.mzML Peak area,S26_neg.mzML Peak area,S27_neg.mzML Peak area,S28_neg.mzML Peak area,S29_neg.mzML Peak area,S30_neg.mzML Peak area,S31_neg.mzML Peak area,S32_neg.mzML Peak area,S34_neg.mzML Peak area,S35_neg.mzML Peak area,S36_neg.mzML Peak area,S37_neg.mzML Peak area,S38_neg.mzML Peak area,S39_neg.mzML Peak area,S40_neg.mzML Peak area,S41_neg.mzML Peak area,S42_neg.mzML Peak area,S43_neg.mzML Peak area,S44_neg.mzML Peak area,S45_neg.mzML Peak area,S46_neg.mzML Peak area,S47_neg.mzML Peak area,S48_neg.mzML Peak area,S49_neg.mzML Peak area,S50_neg.mzML Peak area,
2560,564.3669297874959,13.90812,0,5637.0054,1631.9564,0,2332.4897,597.40686,4703.696,1147.8203,629.40314,4230.926,2848.408,7065.949,5807.542,6920.8813,0,1381.6102,3899.1038,1729.2338,1205.2764,8534.046,11387.0625,31418.463,23851.12,2261.1519,5298.8096,792.61523,4259.891,16246.26,2583.7937,636.7345,1924.6515,7095.027,0,3407.2173,20039.385,11534.6875,3860.6316,5195.083,854.52234,0,1068.6648,1587.3665,3092.3523,4257.921,1130.1981,2934.7844,3292.647,553.8281,32538.37,0,
2558,564.3767521105302,13.908257,0,13606.624,6629.818,4426.298,7613.576,960.8499,11842.029,2014.604,1524.973,12226.786,5357.0054,10950.732,13878.302,9936.163,3917.982,4896.032,6974.408,6906.831,5982.2524,14622.92,16708.494,40322.863,31038.271,8723.174,10274.355,7103.123,13835.274,19188.863,5298.7314,6722.3477,7240.7773,7838.7773,0,5969.221,37460.12,20561.59,7524.9307,8568.19,8501.804,3138.1816,5268.509,8770.638,7345.5728,9398.471,4772.006,6928.916,8720.629,3507.2224,42379.32,2610.88,
628,564.7810188669014,0.6408173,0,50979.06,54051.01,26945.969,32115.79,49539.355,30433.852,26566.48,42337.93,40248.125,35711.36,49760.184,33730.547,36067.438,28056.025,46696.883,41492.84,24656.09,6814.328,49554.61,1376.2512,32956.74,56145.836,43701.21,55226.375,38708.016,42096.18,42602.34,42071.01,30974.957,47787.53,24501.475,44339.16,46329.695,43367.137,27234.219,28436.314,50520.266,24506.924,43712.09,2662.6433,1036.2649,2929.8416,38381.03,39431.727,8211.07,48703.285,39118.71,32325.24,40754.67,
59,564.8295820422596,0.53711575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213869.05,227707.61,179616.94,0,0,0,0,0,0,0,
2237,565.2839696631966,12.484176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30064.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4948,565.4469948920312,16.11611,0,11865.666,7055.8853,0,761.5125,6640.562,0,0,2684.7349,0,720.75073,8029.917,9321.699,5549.0005,568.97815,541.6347,644.85815,0,0,0,0,1570.7666,1395.2026,7921.435,10014.307,1657.7283,0,7135.074,1004.1228,0,3032.1643,5388.3096,967.67865,26209.83,676.9498,0,2772.7727,2807.3962,1878.9944,1302.3596,2915.442,1921.1255,628.3566,2154.2424,0,0,1521.8691,4194.5664,4524.6724,2556.3281,
2713,566.2999737875081,14.378376,0,1461.2272,4227.1265,0,692.34375,0,4474.9883,2635.5698,0,0,1766.4489,1370.9006,5246.735,2321.962,0,0,579.02466,1552.7164,4131.142,3127.2432,1219.9147,21418.545,15183.475,0,1987.4869,1776.8923,4124.2637,13465.448,561.0403,548.8745,563.09155,2399.8044,0,1843.6876,23648.725,5254.0195,7213.0527,1796.1765,1873.9832,0,2403.2646,1957.4286,0,2011.9539,0,0,0,0,19623.29,0,
2709,566.3462157945792,14.377746,0,1302827.0,1266757.1,608743.25,1096199.4,674798.25,1542503.0,983980.5,639091.8,736830.5,1017032.4,1126993.1,1635569.6,1085942.0,652470.3,585506.7,982881.5,1089360.0,1314486.0,1010155.1,1216582.5,4411034.0,3617864.8,787653.25,1065045.5,871484.44,1412368.1,2800339.2,904056.3,833089.5,927219.5,1118351.4,202048.05,985494.94,5170371.0,1877286.4,1707325.2,1231483.6,899693.4,520596.88,921859.6,1023485.5,583453.56,1192007.5,523620.12,787127.56,674757.8,380719.78,4253455.5,533255.7,
2704,566.3925089068612,14.378497,0,3881.348,3251.864,0,1124.1482,1112.7065,3699.3672,2596.9004,0,0,3289.795,731.7495,2664.069,3121.8728,0,0,2385.6323,2631.9995,3120.7102,2153.313,3410.6125,20667.404,17241.969,0,587.2427,626.2294,894.43774,12024.531,1194.5814,1237.3688,588.94666,3573.8796,0,1994.5195,26434.541,7232.1484,6571.96,4382.3276,1859.7902,0,1903.616,2700.843,0,3079.8406,0,0,0,0,20355.053,0,
623,566.7783223217428,0.6400688,0,47825.492,48837.953,24158.588,31171.91,48717.24,28082.93,25254.361,43113.76,41330.434,36433.184,49758.61,38157.91,34992.938,32575.633,49078.41,44361.254,37363.008,6095.3975,49318.438,780.1959,34136.996,51818.824,41995.492,51357.734,40122.715,40956.527,42621.72,40876.547,29780.586,46476.25,23190.16,42189.824,43517.37,43071.664,25180.617,30330.94,53762.88,28321.447,44037.8,3436.0437,1214.1188,2672.08,33663.613,39688.023,7771.533,51883.277,37638.96,32607.309,30433.72,
