"","m.z","retention_time","kw_pvalue"
"1",200.093489995006,16.073454,0.00327217547318906
"2",146.960121399058,0.49927115,0.00589697657329655
"3",133.922413762241,16.877762,0.00590273052028977
"4",242.943269112861,0.5406019,0.00693432437683714
"5",145.050845258877,15.616678,0.00795709569232332
"6",265.147862300908,15.711845,0.00820444836340203
"7",265.147888846183,15.107723,0.0118789684316408
"8",213.088853300061,16.063475,0.0125179743431563
"9",145.050899763861,15.152887,0.0175737895653121
"10",163.061574237935,15.733917,0.0205394741295328
"11",310.930912220027,0.55791545,0.0218445708136195
"12",227.104618701704,15.720992,0.0224633746031685
"13",264.100234032208,16.12601,0.0225953874374646
"14",277.009242902394,16.890808,0.0244628790865193
"15",83.0236292012907,16.899805,0.0249919646561201
"16",329.2334371241,12.604264,0.0259535304011393
"17",462.878392346485,0.55414855,0.026700180375195
"18",530.865463245887,0.55501366,0.0275745338550516
"19",174.955223480807,0.51881945,0.0286638956955879
"20",116.024098856242,16.918753,0.0295146527574144
"21",159.066680777414,15.169439,0.0298607620953817
"22",121.050697767465,15.636853,0.0302978987135744
"23",159.066639700585,16.367802,0.0317326013719832
"24",130.039872940493,15.151573,0.032388836763524
"25",311.168650582371,16.138933,0.0339554161935566
"26",147.030148811658,16.575891,0.0352113640493279
"27",110.034644210881,15.957519,0.0358007624312245
"28",184.062060753621,16.340317,0.0371594891367522
"29",120.055444847964,15.590859,0.037172628264044
"30",377.061924287292,13.559451,0.0410416866903207
"31",83.0236227411721,16.438583,0.0416182269753399
"32",184.062058601766,16.079058,0.0427139131522638
"33",325.184187097682,16.405966,0.0447971970811676
"34",394.890578077612,0.5539402,0.0481223943712686
