"row.ID","row.m.z","row.retention.time","S41_pos.mzML","S42_pos.mzML","S43_pos.mzML","S46_pos.mzML","S21_pos.mzML","S22_pos.mzML","S23_pos.mzML","S24_pos.mzML","S26_pos.mzML","S27_pos.mzML","S28_pos.mzML","S29_pos.mzML","S30_pos.mzML","S31_pos.mzML","S32_pos.mzML","S34_pos.mzML","S35_pos.mzML","S36_pos.mzML","S37_pos.mzML","S38_pos.mzML","S39_pos.mzML","S40_pos.mzML","S01_pos.mzML","S02_pos.mzML","S03_pos.mzML","S04_pos.mzML","S05_pos.mzML","S06_pos.mzML","S07_pos.mzML","S08_pos.mzML","S09_pos.mzML","S10_pos.mzML","S11_pos.mzML","S12_pos.mzML","S13_pos.mzML","S14_pos.mzML","S15_pos.mzML","S16_pos.mzML","S17_pos.mzML","S18_pos.mzML","S19_pos.mzML","S20_pos.mzML"
5449,528.40997940418,14.438158,7296.7866,8314.222,7559.3115,17162.43,6117.457,7184.6436,9019.045,9040.394,2457.1914,11996.319,7993.9575,4011.2808,9432.766,6363.0723,7375.644,7400.9546,7053.846,6127.495,7972.4927,9170.769,4195.766,4455.0283,8325.991,7480.9736,3394.8599,10418.802,5136.9116,5465.8457,7629.566,7341.1953,4644.3145,14433.169,6896.6714,7115.173,5990.2676,7064.28,7325.923,6708.5737,8030.2393,7710.5703,2462.7095,8499.464
7120,529.879888204836,15.529339,146351.08,160971.55,142102.62,172276.08,143512.06,155748.14,164668.61,165674.16,145249.14,185859.38,142890.5,169213.73,150589.78,185029.95,161467.98,153692.02,144721.8,147213.22,155483.7,146374.66,156577.08,150385.6,133859.11,160870.6,177432.39,186664.58,129584.78,139561.67,162578.19,145630.52,154687.83,172567.67,171343.88,145357,165765.02,186355.77,166481.86,157262.66,161503.97,155931.58,149124.83,177643.58
5522,532.383906409332,14.5440445,24500.162,28695.445,38181.26,28561.84,25868.443,26778.469,27941.254,27588.531,26091.605,44811.19,26019.223,23828.975,29038.113,29596.545,28743.78,26884.934,34373.742,30031.402,22836.023,28272.277,29528.303,26796.03,29223.123,27545.826,27363.297,31421.508,26536.094,26285.2,23387.904,28899.857,28891.332,27846.574,27310.22,28855.246,29396.348,25272.475,27306.309,26528.018,27946.33,26738.713,29591.22,30967.719
3928,533.340228135054,8.988844,315,204.2,369.8,419.6,4790.8174,6946.218,237.8,411.7,144.7,6698.0317,121.2,235,322.1,306.5,297.9,1261.732,13528.729,813.96875,523.7,579.00433,526.1,307.6,208.6,262.7,487.9,15.5,268.7,129.6,100,171.5,505.8,294.5,501.5,381.7,513,227.4,481.2,306.4,300.3,343.9,118.5,1436.5979
5762,535.323788666912,14.792073,4246.7793,8345.203,9600.85,6081.748,10386.513,9714.241,12560.181,11621.198,6781.1987,8231.39,7835.837,9509.681,8186.6836,12519.6045,11126.863,9382.681,12006.652,9073.103,11632.811,12302.4,5896.5,9901.813,6245.508,14131.589,9637.144,9687.69,10962.225,12294.085,6813.581,3682.1929,7565.1597,13902.56,10063.495,3859.1812,12099.432,7168.9897,12135.28,11974.306,11954.855,12519.856,12966.539,7003.0547
7605,535.397021859064,15.652484,3931.2588,5936.9004,775.9857,94.4,1007.4867,1520.0591,30417.902,51488.777,541.41473,1445.6404,5318.442,537.6898,2377.9456,2479.9583,3235.971,33333.836,11839.1,435.6,762.7544,5525.6626,354.2,3156.862,49202.094,28326.049,1691.3911,3651.4907,3455.5532,1148.8801,452.7,742.35657,541.2197,4624.5005,62005.723,22966.84,12004.416,789.6778,4347.9136,5614.631,808.505,92.1,1491.8192,1630.1848
8533,535.399528951203,16.535187,75956.625,83165.14,74772.914,79298.31,66116,60483.562,61436.863,64670.71,79184.89,68029.555,67446.016,71710.23,69963.164,75431.51,73737.59,59058.92,54331.496,85099.69,65111.57,77914.05,80615.305,80203.555,75109.6,80751.305,72457.97,85668.1,64777.523,63798.645,74956.07,76238.95,75776.95,82140.42,74607.195,57559.977,71316.06,66667.74,78261.08,60912.586,58582.656,84634.74,73941.16,78584.28
8882,536.164668254312,16.908226,239218.48,136411.92,157129.48,126360.914,79986.99,142374.8,116949.14,102939.914,169529.31,180977.34,204084.52,160362.58,104041.91,126877.89,201081.84,93003.04,4435.307,112889.48,175744.16,72904.695,141522.03,193912.08,189949.67,92481.78,191116.72,194685.61,101866.516,92831,107941.64,228780.97,65256.45,220285.39,192875.11,102337.97,179826.95,185683.12,143993.3,227248.27,224652.23,72476.51,247393.22,32357.484
8611,536.165009085731,16.603176,23.8,247.9,172.7,423.7,274.8,491.2,25.5,248.1,439.2,197,3.1,291.8,460.3,326,236.8,396,159.1,394.6,145.1,21.2,403.3,189.7,332.1,297.4,287.7,406.2,103.3,285.5,157.5,501.1,249.9,497.8,495.6,100.8,414.4,38.8,361.9,376.2,432.1,177.1,342,511.2
8534,537.877353092378,16.535187,66462.41,67628.59,71123.58,65616.78,58693.31,56725.414,53714.43,60347.598,70049.77,61854.375,65230.47,61833.754,67521.164,58381.062,71287.82,55089.707,44188.25,68622.08,53316.785,58617.15,65130.46,64212.86,58041.727,75112.195,66351.61,70257.305,56326.676,61019.793,62394.31,67165.16,66051.61,71825.59,67681.15,53339.5,62109.918,60814.586,70938.26,59020.715,53376.734,67555.72,65654.88,65089.277
