"row.ID","row.m.z","row.retention.time","S41_neg.mzML","S42_neg.mzML","S43_neg.mzML","S46_neg.mzML","S21_neg.mzML","S22_neg.mzML","S23_neg.mzML","S24_neg.mzML","S25_neg.mzML","S26_neg.mzML","S27_neg.mzML","S28_neg.mzML","S29_neg.mzML","S30_neg.mzML","S31_neg.mzML","S32_neg.mzML","S34_neg.mzML","S35_neg.mzML","S36_neg.mzML","S37_neg.mzML","S38_neg.mzML","S39_neg.mzML","S40_neg.mzML","S01_neg.mzML","S02_neg.mzML","S03_neg.mzML","S04_neg.mzML","S05_neg.mzML","S06_neg.mzML","S07_neg.mzML","S08_neg.mzML","S09_neg.mzML","S10_neg.mzML","S11_neg.mzML","S12_neg.mzML","S13_neg.mzML","S14_neg.mzML","S15_neg.mzML","S16_neg.mzML","S17_neg.mzML","S18_neg.mzML","S19_neg.mzML","S20_neg.mzML"
5742,211.07319496125,16.439201,38003.36,88535.25,117780.18,65281.246,60279.934,10222.51,85814.516,63272.438,58966.434,5872.01,40419.47,75560.09,70535.27,79502.734,139283.83,83420.46,87041.445,85395.03,26009.629,18039.98,10069.957,27446.06,31699.27,68721.13,7064.338,46222.617,46061.133,34120.152,39408.48,8285.661,86336.36,30869.58,34802.277,49501.227,15652.724,25853.996,85563.21,15252.25,50334.04,34336.45,86807.83,54614.414,24901.105
4459,211.073201359281,16.070013,103380.305,171807.61,149091.1,90586.17,157634.61,83427.67,44315.723,66271.375,305933.88,36166.62,102667.055,47307.8,132270.62,256366.77,67366.484,50412.426,67917.91,118617.805,98779.04,212869.77,112787.8,50567.79,35169.246,123832.16,91544.305,177457.34,117700.914,108644.695,38751.637,108627.56,126612.63,55268.27,50075.69,53861.74,114131.45,74251.26,74428.9,82818.38,92745.08,78295.875,67452.19,144213.08,260031.38
4886,212.093606597874,16.063034,71927.35,26932.705,11333.305,38806.547,86394.1,54130.508,22313.275,13429.931,181966.77,11052.154,17575.506,34082.91,52081.137,60510.96,69331.48,28556.045,39214.035,49830.816,70687.21,22690.314,68960.56,37767.7,30469.518,102810.57,36592.355,38737.887,91025.77,24726.77,32201.162,39964.406,47583.08,3715.582,13753.333,15179.773,31532.82,89218.42,12899.746,72958.46,43898.453,22882.846,47378.746,98129.13,55028.348
6571,213.088841487812,16.701727,256129.98,112258.33,189780.6,129168.98,244629.16,209553.08,125395.74,261631.58,218299.25,253578.66,122978.695,117616.66,111748.13,191679.67,600690.75,136476.33,150523.2,309271.34,611788.7,364379.94,153035.03,89423.06,72045.42,114745.984,191289.72,257119.55,296612.34,49007.254,146436.28,292409.56,235983.75,66888.32,75505.77,85030.81,359501.97,393887.66,101091.67,289605.72,220564.89,128097.3,605722.44,364963.5,435032.53
4251,213.088840227537,15.821843,187786.75,110031.59,34051.266,41744.414,395355.44,131541.6,243099.78,151374.16,293173.53,89772.37,111700.18,62351.914,174391.11,430959,178129.67,206756.1,317972.06,312042.12,444257.44,358215.4,172193.44,643095.56,179595.48,174637.16,167144.94,12958.848,74586.11,275114.62,164617.02,211755.94,205995.02,194688.84,155916.27,123087.94,136442.22,154406.2,367973.34,248532.22,127531.5,85134.9,108477.8,144440.7,440929
3557,213.08884343245,15.513912,62071.25,40446.7,18613.896,55466.906,108145.164,40475.16,18453.312,8000.4336,82205.805,25670.344,44432.766,13995.91,52323.492,21332.271,31778.342,43885.35,11196.3955,22910.432,97722.875,8853.623,184685.12,27501.734,6021.304,171043.33,13070.065,48471.418,77328.79,53242.902,14532.082,38043.21,40882.926,68567.36,5920.815,9863.052,48383.973,93015.61,17194.389,13088.619,6210.4956,12124.701,28302.945,242097.83,58477.34
5662,213.088849783668,16.445988,251274.36,334126.8,42650.18,413002.28,93556.58,289237.25,170573.72,98636.164,181189.03,116810.336,78231.35,244658,333023.25,119309.06,14393.361,49639.797,85217.305,211544.11,271277.22,83973.27,198092.67,380517.3,143083.27,78594.79,9665.091,57008.11,101671.33,122499.695,19004.865,219473.77,237402.7,453050.6,82346.25,179746.83,87700.12,144450.69,220490.55,49462.688,127678.125,291314.4,21581.764,296202.44,38349.637
6978,213.088845181797,16.92468,14023.583,17713.754,61703.547,13117.283,15375.611,74419.62,10947.779,19764.402,10569.095,60923.49,27896.803,27214.816,66983.54,15030.141,19607.695,19722.293,24602.357,20016.258,55133.684,14382.431,102688.1,37051.293,42765.594,32256.973,24414.916,36862.87,37788.45,14913.365,75358.016,11721.609,36535.723,78082.16,24024.209,18134.102,76990.2,19866.602,33893.902,28840.266,42930.254,20740.816,8114.759,18352.701,32190.443
4486,213.088853300061,16.063475,237387.12,126656.83,607236.4,517690.2,145428.1,161701.88,97840.336,57759.98,319071.75,96118.21,96811.7,106961.766,313202.66,70105.016,115887.5,98070.13,127188.32,150457.17,361193.62,182873.77,322726.6,151231.89,146366,287401.72,124130.91,468993.5,539962.75,276393.1,105282.414,215901.36,155993.53,245877.6,211141.38,126409.51,194481.02,323735,110169.016,336984.84,113970.31,380441.38,272615.1,229225.47,156341.47
5160,213.088856448448,16.252657,29545.74,94522.75,114117.36,19115.158,114930.41,54517.64,15187.709,58992.56,237735.67,34345.707,56632.105,89215.26,62175.652,324185.66,43702.71,39389.82,149539.4,263664.06,78572.86,52198.395,20030.04,30710.514,120103.02,111824.98,174549.92,137623.75,12573.895,31986.479,22974.584,10463.094,51217.29,36591.246,116601.555,19616.047,61236.17,41007.723,26928.334,176697.98,83869.18,73205.71,21581.764,62202.52,61070.27
2065,215.128386843288,10.627636,195452.86,188196.75,179675.81,186270.8,189632.6,179842.86,189184.97,183462.4,189960.73,186963.06,184486.03,185768.06,187265.77,192624.98,175922.06,180701.06,191820.73,187601.72,187036.83,165785.22,184093.17,199370.44,185532.53,194553.14,193831.23,169903.88,230482.08,186720.53,179194.48,186021.47,185120.08,181604.98,186573.56,178892.69,195512.19,185314.05,124573.414,192438.6,191246.94,196839.1,171787.16,177471.47,163411.39
2677,221.154237553344,14.297735,77895.65,71891.05,40607.555,100714.6,99642.13,98780.04,98333.67,100984.79,89550.055,102563.36,89948.516,94451.07,88970.27,98361.18,100195.1,85799.27,73462.33,81599.13,75500.805,99572.086,84565.88,93652.89,96119.16,97771.8,99276.44,95395.086,95114.375,97629.92,89052.84,93795.07,96292.72,103443.19,75152.89,94383.87,103598.66,84538.55,101741.74,97333.234,99707.54,95765.52,127036.6,77066.61,98382.75
2336,221.154242450111,12.947927,29708.094,33262.45,29000.11,28869.723,34966.652,31108.676,32346.041,31014.297,29467.812,29627.064,29238.316,30280.4,28544.451,32511.916,33292.418,34869.33,33069.793,32294.885,30034.998,28111.05,33785.707,32929.56,32087.486,28264.035,30503.268,27504.574,33895.004,30671.162,28988.766,30088.91,30945.428,33034.79,30138.896,31870.781,29342.885,30556.77,33264.668,31364.79,30506.67,32519.582,28799.242,32710.043,29872.293
6665,223.073274846157,16.750742,58289.957,22334.205,10032.705,26516.443,12469.832,44391.117,12284.312,6856.466,11604.572,58445.5,7504.836,8675.459,3426.368,25267.32,34826.395,9602.659,23400.994,66284.125,9058.23,41126.863,19400.889,31997.99,3757.9092,95564.24,8807.918,5533.7153,29897.56,5309.074,45674.098,17939.266,48701.508,23750.143,12251.336,4153.964,50339.094,7154.6055,21971.906,8294.996,11140.498,9594.743,7569.467,51682.266,69182.95
4102,223.073275882315,15.779111,3114.0994,4739.5864,7246.3667,10133.744,26007.807,8191.1484,2469.1943,13716.061,5741.3174,17671.006,4605.333,4724.7505,4304.756,10411.007,3410.822,9467.231,40381.855,90605.98,23520.309,8211.983,17033.324,80259.42,4314.1396,7714.2666,6975.052,10239.65,7047.754,7308.575,4474.619,12732.71,21155.47,5937.492,6154.382,3664.1794,5946.602,7754.071,8303.465,8649.27,7018.9497,3202.729,9228.55,84312.26,8030.411
