"m.z","retention_time","kw_statistic","kw_p_value","kw_p_adj_bh","group1","group2","posthoc_p_adj"
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"PR1","Healthy",0.167832167832168
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"PR2","Healthy",1
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"PR2","PR1",0.227895169845634
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"TR1","Healthy",0.11009114724285
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"TR1","PR1",0.176490176490177
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"TR1","PR2",0.11009114724285
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"TR2","Healthy",0.176490176490177
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"TR2","PR1",0.227895169845634
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"TR2","PR2",0.176490176490177
83.0236292012907,16.899805,10.9162052417867,0.0275220697948461,0.713474179276383,"TR2","TR1",1
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"PR1","Healthy",0.789432789432789
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"PR2","Healthy",0.167832167832168
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"PR2","PR1",0.0709584533113945
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"TR1","Healthy",0.839160839160839
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"TR1","PR1",0.445290004113534
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"TR1","PR2",0.445290004113534
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"TR2","Healthy",0.3996003996004
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"TR2","PR1",0.364632271753015
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"TR2","PR2",0.0567234622962177
110.034644210881,15.957519,11.0117017349575,0.0264328172807573,0.713474179276383,"TR2","TR1",0.188140033341272
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"PR1","Healthy",0.93986013986014
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"PR2","Healthy",0.370629370629371
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"PR2","PR1",0.0259152612093789
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"TR1","Healthy",0.674325674325674
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"TR1","PR1",0.630756240663362
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"TR1","PR2",0.0206759185087358
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"TR2","Healthy",0.674325674325674
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"TR2","PR1",0.73413342763188
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"TR2","PR2",0.0145056182207885
116.024098856242,16.918753,12.3620524178664,0.0148525470480956,0.713474179276383,"TR2","TR1",0.674325674325674
121.050697767465,15.636853,11.0735695828719,0.0257495180395762,0.713474179276383,"PR1","Healthy",0.674325674325674
121.050697767465,15.636853,11.0735695828719,0.0257495180395762,0.713474179276383,"PR2","Healthy",0.225508237892139
121.050697767465,15.636853,11.0735695828719,0.0257495180395762,0.713474179276383,"PR2","PR1",0.226518579459756
