"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",9,0,0,0.0133333884306018,0.0165147259987536,0.00650316272286907,48.7735188749432
"TR",10,0,0,0.019020714582372,0.0212938763706518,0.00668904283370941,35.1671479257077
