"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",9,0,0,0.000681212793904718,0.000289634815973451,0.000800133855828917,117.457256086243
"TR",10,0,0,0.00184568117846932,0.00155086352831944,0.00114715274262986,62.1533532449645
