"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",9,0,0,0.00385682889628119,0.00186874972841829,0.00368911574510055,95.6515273119232
"TR",10,0,0,0.00118586256550611,0.000971621685094397,0.000640668734454849,54.0255467277879
