"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",9,0,0,0.000130292118466305,7.23831948297577e-05,0.00013809085376026,105.985577167487
"TR",10,0,0,4.32778833757951e-05,3.86097202054979e-05,2.97686873572399e-05,68.7849890872649
