"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy",4,0,0,0.000145683046996419,0.00014731033584762,5.27676052317845e-06,3.62208275566076
"PR",8,0,0,0.000160780942182985,0.000158497682332927,7.00743960298242e-06,4.3583769990645
"TR",10,0,0,0.000149102878386402,0.000152132450781566,8.94591007823247e-06,5.99982386325837
