"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy",4,0,0,0.00204820057009529,0.00205226961298741,8.09558572712888e-05,3.95253562826234
"PR",8,0,0,0.00124928571210543,0.00111159525281099,0.000566370318274168,45.3355315590426
"TR",10,0,0,0.00121138172109474,0.00121383025638561,0.000142592880918302,11.7710939859188
