"row.ID","row.m.z","row.retention.time","p_value","statistic","p_adjusted_BH","mean_group1","mean_group2","fold_change","log2_fold_change","significance","label"
6238,147.066527350901,16.619448,0.00915168885265007,0,0.64659494987395,0.000891169899167397,0.0019889557783102,2.23184802378137,1.15823879114479,"Not Significant","6238"
2457,377.061924287292,13.559451,0.00915168885265007,45,0.64659494987395,1.85092223296301e-06,9.23837375733021e-07,0.499122739616194,-1.00253346156651,"Not Significant","2457"
3949,200.093479493439,15.726653,0.0128512401874965,1,0.64659494987395,0.000116839249066151,0.000287941487179923,2.46442432214622,1.30125067922757,"Not Significant","3949"
4794,120.0554488254,16.171179,0.0178171887595787,2,0.64659494987395,0.000843908325908815,0.00179568621062801,2.12782141791789,1.08937707457245,"Not Significant","4794"
6177,196.062158305788,16.667587,0.0178171887595787,2,0.64659494987395,0.000287547818824377,0.000493887416953904,1.71758359695836,0.780380318538116,"Not Significant","6177"
4658,265.147891747623,16.07208,0.0178171887595787,43,0.64659494987395,0.000534828536367695,0.000331179169594665,0.619224942341107,-0.691464510570585,"Not Significant","4658"
2269,329.2334371241,12.604264,0.0178171887595787,43,0.64659494987395,0.000713335681050709,0.000557205771438638,0.781127015289493,-0.356370937775903,"Not Significant","2269"
6800,122.034727701197,16.859606,0.0243902414330541,3,0.64659494987395,0.000324849264317378,0.000516747550828727,1.5907302481186,0.669689207952499,"Not Significant","6800"
6862,165.019728491147,16.894913,0.0243902414330541,3,0.64659494987395,0.000894833414371705,0.00165670495356803,1.85141158897297,0.888625657694433,"Not Significant","6862"
3898,265.147862300908,15.711845,0.0243902414330541,42,0.64659494987395,0.000257515408180929,0.000122914418875573,0.477308988009035,-1.06700459144513,"Not Significant","3898"
4133,109.03938577152,15.837658,0.0329693812442201,41,0.64659494987395,0.00117931677573039,0.000542484751305552,0.459999181279833,-1.12029680146679,"Not Significant",NA
4188,110.034644210881,15.957519,0.0329693812442201,41,0.64659494987395,0.0018491420282156,0.00109503397906118,0.592184895671792,-0.755880401429139,"Not Significant",NA
6988,112.984331756441,16.957169,0.0329693812442201,41,0.64659494987395,0.00585151211623051,0.00457651400119807,0.782107925317979,-0.354560391987002,"Not Significant",NA
6971,116.024098856242,16.918753,0.0329693812442201,4,0.64659494987395,0.00014331113650897,0.000255726410148771,1.78441408238197,0.835450438845319,"Not Significant",NA
3966,161.045960855144,15.7255945,0.0329693812442201,4,0.64659494987395,6.97132172967223e-05,0.000179230057235687,2.57096235385071,1.36230848519664,"Not Significant",NA
