"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"TR","1",10,0,0,0.000148057820985208,0.00012748640902963,4.04983738347807e-05,27.3530797395882
"TR","2",10,0,0,0.000155713531867484,0.0001529515718137,4.01306002019196e-05,25.7720698520099
