"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"TR","1",10,0,0,2.30327753338665e-05,2.15219338950738e-05,8.71124852945274e-06,37.8210979926682
"TR","2",10,0,0,1.80412643870359e-05,1.97453997193772e-05,7.76520471876256e-06,43.0413553738644
