"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"TR","1",10,0,0,4.19395690061798e-05,3.54359468426411e-05,2.77928956783153e-05,66.2689110472737
"TR","2",10,0,0,4.79866134839059e-05,3.60106996277538e-05,3.93015233064644e-05,81.9010145811718
