"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"TR","1",10,0,0,5.00026663704995e-05,5.07204555030253e-05,1.20283513694106e-05,24.0554199255803
"TR","2",10,0,0,2.93409410869082e-05,2.89258521071998e-05,1.23107000717542e-05,41.9574138242183
