"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"TR","1",10,0,0,0.000919070422711007,0.000966888316109688,0.000153282086718072,16.6779479494
"TR","2",10,0,0,0.000889593499765633,0.000886727097890205,0.000134439606284408,15.112476239971
