"PC1","PC2","sample_name","Groups"
-1.41793966982951,-10.3759616661841,"S21_neg.mzML","PR1"
8.04599160715027,5.50481253214536,"S22_neg.mzML","PR1"
-13.5428686657164,1.29565750683889,"S23_neg.mzML","PR1"
-17.0715371919622,1.09058515813461,"S24_neg.mzML","PR1"
6.47129796156848,1.73050696309692,"S25_neg.mzML","PR1"
3.67421491570919,1.66172633942749,"S26_neg.mzML","PR1"
-10.6917793346214,-2.56763802672567,"S27_neg.mzML","PR1"
-3.64618453923986,3.26101444554554,"S28_neg.mzML","PR1"
-8.2362006324636,-2.85032027943399,"S29_neg.mzML","PR1"
-4.41647819441529,1.474149031201,"S30_neg.mzML","PR1"
4.14355742968595,13.7144678846107,"S31_neg.mzML","PR2"
-10.1910076626881,-1.82545878778435,"S32_neg.mzML","PR2"
-1.83164689854409,1.96590325630845,"S34_neg.mzML","PR2"
15.8128854786034,2.89327151511396,"S35_neg.mzML","PR2"
17.6262659512414,-9.12263154822352,"S36_neg.mzML","PR2"
-5.8633406419899,0.922573672558649,"S37_neg.mzML","PR2"
16.9443287059832,6.40231563882214,"S38_neg.mzML","PR2"
9.24296921167887,-14.6338927036091,"S39_neg.mzML","PR2"
-5.05252783015042,-0.541080931842941,"S40_neg.mzML","PR2"
