row.ID,row.m.z,row.retention.time,p_value,statistic,p_adjusted_BH,mean_change_group1,mean_change_group2,log2_fold_change_of_change,significance,label
4986,136.050473,16.13028,0.153041884,27,1,-0.000153628,-0.000226153,0.557863985,Not Significant,NA
2962,145.0509348,14.939954,0.153041884,27,1,-1.62E-05,0.00013716,-3.084924566,Not Significant,NA
6499,158.0461796,16.673094,0.153041884,27,1,-0.000242646,0.000378243,-0.640467098,Not Significant,NA
4424,163.0615792,16.053415,0.153041884,63,1,0.000283796,-0.0001078,1.3965205,Not Significant,NA
4888,174.077629,16.060692,0.153041884,63,1,0.00012955,1.07E-05,-3.598544347,Not Significant,NA
5429,184.0620608,16.340317,0.153041884,63,1,0.00035019,-0.00017091,1.034916963,Not Significant,NA
2535,339.1998028,13.861886,0.153041884,63,1,0.000600233,-0.00051548,0.219612429,Not Significant,NA
6559,134.0348088,16.67,0.177909595,62,1,0.000228825,-7.21E-05,1.666554668,Not Significant,NA
3441,134.0348138,15.422277,0.177909595,62,1,4.00E-05,-0.000106544,-1.411982924,Not Significant,NA
3392,145.0508644,15.389235,0.177909595,28,1,-0.000326522,0.000407652,-0.320162636,Not Significant,NA
6449,145.922523,16.876688,0.177909595,62,1,0.001275406,-0.001945138,-0.608914331,Not Significant,NA
3419,147.0665372,15.441309,0.177909595,28,1,-0.000141022,-4.99E-05,-1.498297856,Not Significant,NA
5075,182.0463936,16.173647,0.177909595,28,1,2.85E-05,0.000189003,2.730248102,Not Significant,NA
3711,184.0620595,15.61322,0.177909595,28,1,-4.53E-05,0.000237057,-2.386994915,Not Significant,NA
4190,225.0889637,15.846042,0.177909595,62,1,0.000205469,-7.92E-06,4.698239948,Not Significant,NA
6845,237.0891072,16.884235,0.177909595,28,1,-9.25E-06,0.000179387,-4.277771221,Not Significant,NA
7175,471.1145873,17.05871,0.177909595,28,1,-9.40E-05,-9.57E-06,-3.296406447,Not Significant,NA
4034,83.02361716,15.898128,0.20566718,61,1,0.002138825,-0.001502648,0.509313173,Not Significant,NA
5696,120.0190698,16.413633,0.20566718,61,1,0.000101335,-0.000150845,-0.573912653,Not Significant,NA
7005,121.0507107,16.96348,0.20566718,29,1,-0.000188122,0.00014012,0.424988117,Not Significant,NA
5760,134.0348164,16.393234,0.20566718,61,1,0.000147865,-0.000262862,-0.830011217,Not Significant,NA
6599,141.0195534,16.644735,0.20566718,29,1,-0.000698331,0.000896041,-0.359657912,Not Significant,NA
3145,147.0665548,15.206212,0.20566718,29,1,-4.32E-05,4.73E-05,-0.132883354,Not Significant,NA
4013,155.0353041,15.991202,0.20566718,61,1,0.000482016,-0.000492309,-0.030475737,Not Significant,NA
