"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"1","PC1",-0.0588508713449179,96.0200885693322,9.79898405802011,0.18359,0.18359
"1","PC2",0.00196857172151362,34.0426664926706,5.83460936932976,0.06509,0.24869
"1","PC3",0.0322891052512629,32.1851664417304,5.67319719750075,0.06154,0.31023
"1","PC4",0.00167757866392476,29.3040010687993,5.41331701166663,0.05603,0.36626
"1","PC5",0.0130482382330249,27.8702446957801,5.27922766091595,0.05329,0.41955
"1","PC6",0.0374464610704404,25.4013570068827,5.0399758934823,0.04857,0.46811
"1","PC7",0.0690064250246944,25.1304904298314,5.0130320595256,0.04805,0.51616
"1","PC8",0.0785603454636636,24.2329509288421,4.92269752562984,0.04633,0.5625
"1","PC9",-0.0362543124058102,22.7735437940715,4.77216342910336,0.04354,0.60604
"1","PC10",0.0583132924227154,21.3200892539197,4.61736821727699,0.04076,0.64681
"1","PC11",0.0312144049500365,20.3693717227695,4.5132440353663,0.03895,0.68576
"1","PC12",0.0130960640806554,19.300544718397,4.39323852282084,0.0369,0.72266
"1","PC13",0.012301003802564,18.4718769386704,4.29789215065599,0.03532,0.75798
"1","PC14",-0.0346870828671376,17.5552971803223,4.1899041970339,0.03357,0.79154
"1","PC15",-0.0048122691458434,15.9136063169195,3.98918617225613,0.03043,0.82197
"1","PC16",-0.0203885209916128,15.2009566011866,3.89884041750705,0.02906,0.85104
"1","PC17",-0.0485320502663292,13.9797511298918,3.73895053857253,0.02673,0.87777
"1","PC18",0.00228659084139314,13.7657972773369,3.71022873652513,0.02632,0.90409
"1","PC19",0.0531087048331871,13.4252528568123,3.66404869738548,0.02567,0.92976
"1","PC20",0.00860613576988532,13.0725222075725,3.61559430904139,0.025,0.95475
"1","PC21",0.0050512002059377,12.2765713311285,3.5037938482634,0.02347,0.97823
"1","PC22",-0.0916909234957755,11.3878530371328,3.37458931384736,0.02177,1
"1","PC23",-0.104802319720491,2.30399167509639e-29,4.79999132821757e-15,0,1
"2","PC1",-0.0106156454552644,96.0200885693322,9.79898405802011,0.18359,0.18359
"2","PC2",0.0446124515157875,34.0426664926706,5.83460936932976,0.06509,0.24869
"2","PC3",-0.0684235787886799,32.1851664417304,5.67319719750075,0.06154,0.31023
"2","PC4",-0.0230605955714298,29.3040010687993,5.41331701166663,0.05603,0.36626
"2","PC5",-0.0181606615230794,27.8702446957801,5.27922766091595,0.05329,0.41955
"2","PC6",0.052808848141521,25.4013570068827,5.0399758934823,0.04857,0.46811
"2","PC7",-0.0877649609831653,25.1304904298314,5.0130320595256,0.04805,0.51616
"2","PC8",0.0842829568941859,24.2329509288421,4.92269752562984,0.04633,0.5625
"2","PC9",-0.00230169559883643,22.7735437940715,4.77216342910336,0.04354,0.60604
"2","PC10",0.0363101403097639,21.3200892539197,4.61736821727699,0.04076,0.64681
"2","PC11",-0.0333871815163503,20.3693717227695,4.5132440353663,0.03895,0.68576
"2","PC12",-0.0285289313018588,19.300544718397,4.39323852282084,0.0369,0.72266
"2","PC13",-0.0475870416799773,18.4718769386704,4.29789215065599,0.03532,0.75798
"2","PC14",-0.0414470718998124,17.5552971803223,4.1899041970339,0.03357,0.79154
"2","PC15",-0.0146151871693389,15.9136063169195,3.98918617225613,0.03043,0.82197
"2","PC16",-0.0217093097163299,15.2009566011866,3.89884041750705,0.02906,0.85104
