"PC1","PC2","sample_name","Groups"
-9.43927968321169,-5.78008190617996,"S41_pos.mzML","Healthy"
8.1465438997645,-10.276498733497,"S42_pos.mzML","Healthy"
-11.3203611350544,-10.0170565465035,"S43_pos.mzML","Healthy"
-5.8697077493847,-10.6867025032531,"S46_pos.mzML","Healthy"
-1.13536751366313,23.1629436106476,"S21_pos.mzML","PR1"
4.63132213951147,10.7335595233795,"S22_pos.mzML","PR1"
-6.43657911311034,2.68793483237681,"S23_pos.mzML","PR1"
-8.52417806470934,1.05010450678401,"S24_pos.mzML","PR1"
-4.92261740365667,-1.15477627326995,"S26_pos.mzML","PR1"
-3.91322546553574,20.6113138467347,"S27_pos.mzML","PR1"
-8.07521019610423,3.08863555308799,"S28_pos.mzML","PR1"
-10.8185075360623,-2.81700193831906,"S29_pos.mzML","PR1"
-8.05587368604676,-1.90090613643201,"S30_pos.mzML","PR1"
0.80767487813836,-4.65642736208952,"S31_pos.mzML","PR2"
-8.55240265870728,-1.72899574421772,"S32_pos.mzML","PR2"
0.254602463833979,4.00124906088067,"S34_pos.mzML","PR2"
31.7017273798609,14.2558826404434,"S35_pos.mzML","PR2"
19.6578723159292,-9.63051049240245,"S36_pos.mzML","PR2"
-7.35428370406208,1.9201896019983,"S37_pos.mzML","PR2"
20.0298388192625,-3.0669193621499,"S38_pos.mzML","PR2"
17.141656332434,-17.7947955757362,"S39_pos.mzML","PR2"
-7.95364431942624,-2.00114060228264,"S40_pos.mzML","PR2"
