"PC1","PC2","sample_name","Groups"
-3.87982219440274,4.90730311544544,"S41_neg.mzML","Healthy"
-9.11445111266642,6.27203658306884,"S42_neg.mzML","Healthy"
2.27474088256376,-1.27121575530459,"S43_neg.mzML","Healthy"
0.0327535938512644,-0.310626883175922,"S46_neg.mzML","Healthy"
-0.731175190771719,8.55501700837677,"S21_neg.mzML","PR1"
8.98640816847709,-4.37696719593131,"S22_neg.mzML","PR1"
-13.1709202353877,-1.71234131017521,"S23_neg.mzML","PR1"
-16.7733920164206,-1.71187491529656,"S24_neg.mzML","PR1"
6.89721226601795,-1.587457373567,"S25_neg.mzML","PR1"
4.35971542710813,-1.22473471659964,"S26_neg.mzML","PR1"
-10.9843899824245,1.36131350380871,"S27_neg.mzML","PR1"
-2.81796201656895,-4.12387342225341,"S28_neg.mzML","PR1"
-8.05023461385845,0.803727204013554,"S29_neg.mzML","PR1"
-3.60426550507207,-2.16857126862404,"S30_neg.mzML","PR1"
4.99913559020367,-13.0642528584243,"S31_neg.mzML","PR2"
-9.75350908558029,0.0880945116957546,"S32_neg.mzML","PR2"
-1.19020852524257,-1.04084766203033,"S34_neg.mzML","PR2"
16.8813813918233,-3.00513333255325,"S35_neg.mzML","PR2"
18.1660989530938,7.85779781370822,"S36_neg.mzML","PR2"
-5.75691596689301,-3.38102290402776,"S37_neg.mzML","PR2"
17.8417314852182,-6.40410003389019,"S38_neg.mzML","PR2"
9.67775249687991,16.1853122850265,"S39_neg.mzML","PR2"
-4.289683809948,-0.647582393290292,"S40_neg.mzML","PR2"
