"PC1","PC2","sample_name","Groups"
-4.56751300248582,21.2282701397561,"S21_pos.mzML","PR1"
2.26930262272354,9.42610682296251,"S22_pos.mzML","PR1"
-7.32938619161264,-0.0560496308629201,"S23_pos.mzML","PR1"
-9.70574231585986,-0.967069513410999,"S24_pos.mzML","PR1"
-5.87230580680878,-4.05025593092525,"S26_pos.mzML","PR1"
-7.0394628296334,18.0870581476234,"S27_pos.mzML","PR1"
-9.60091578238557,0.510041287421684,"S28_pos.mzML","PR1"
-10.9804811666062,-8.13143197971259,"S29_pos.mzML","PR1"
-8.56857523526673,-5.137936593361,"S30_pos.mzML","PR1"
0.549000873419847,-3.85741013832122,"S31_pos.mzML","PR2"
-9.14830189137604,-4.79271084013542,"S32_pos.mzML","PR2"
-1.51689378420653,0.396455401473069,"S34_pos.mzML","PR2"
29.5430507033152,16.9334548491389,"S35_pos.mzML","PR2"
20.0529883553685,-9.11577797107502,"S36_pos.mzML","PR2"
-7.81171791545761,-1.96317932253611,"S37_pos.mzML","PR2"
19.7529393621681,-0.582123415155915,"S38_pos.mzML","PR2"
18.6312706044361,-20.6427018719047,"S39_pos.mzML","PR2"
-8.65725659973219,-7.28473944097452,"S40_pos.mzML","PR2"
