"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"TR","1",10,0,0,0.000129011059277993,0.000132522022218439,1.69761462337463e-05,13.158675177735
"TR","2",10,0,0,0.000127487540609004,0.000124161835110223,2.74624537006769e-05,21.5412844027656
