"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy",4,0,0,0.000674914752190007,0.0008084527378726,0.000438682251836232,64.99817205251
"PR",9,0,0,1.27645920255261e-06,1.30513688492333e-06,8.74235744938037e-07,68.4891254800606
"TR",10,0,0,4.24724652829488e-06,1.55028156255693e-06,6.43754161608842e-06,151.569765804785
