"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy","1",4,0,0,0.0150852629209073,0.0151838687378931,0.00070635321591619,4.68240573346074
"TR","1",10,0,0,0.0148427743650045,0.0145768022166178,0.000803939584913353,5.41637004742751
