"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy","1",4,0,0,0.000208956699819601,0.000205837885659728,1.50807712100965e-05,7.21717524401761
"TR","1",10,0,0,0.000209815801881826,0.000208813127239327,2.70610365394053e-05,12.8975207285135
