"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy","1",4,0,0,0.00180785978031924,0.00159434507322431,0.00111842084702278,61.8643580214659
"TR","1",10,0,0,0.00235351499025701,0.00241721877626723,0.00106748133512267,45.3568955176318
