"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy","1",4,0,0,0.00135846740756059,0.00133573584972731,0.000173008495352304,12.7355646804201
"TR","1",10,0,0,0.00139647979476648,0.00140614676965344,6.28885807621173e-05,4.50336488918792
