row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,mean_change_difference,fold_change,log2_fold_change,significance
8776,397.328241327069,16.76302,0.002915085858374123,6,18,0.5871564584250639,1,-0.85,-6.8434246439065e-6,9.752754886726426e-6,1.6596179530632926e-5,NA,NA,Not Significant
5751,614.446626394337,14.787305,0.002915085858374123,74,18,0.5871564584250639,1,0.8500000000000001,4.095216326009278e-6,-3.36295942441488e-6,-7.458175750424158e-6,NA,NA,Not Significant
6114,97.1015546962617,15.001301,0.0038806884459565406,73,18,0.5871564584250639,1,0.825,1.6922231046959998e-5,-6.9922725528299994e-6,-2.3914503599789997e-5,NA,NA,Not Significant
3729,185.114665665916,7.6914005,0.0038806884459565406,7,18,0.5871564584250639,1,-0.825,-2.666888109343719e-4,0.0014226202126760715,0.0016893090236104434,NA,NA,Not Significant
6108,312.252730612651,14.895345,0.005128520196060811,72,18,0.5871564584250639,1,0.8,1.0482397542999996e-5,-1.559356968763626e-5,-2.6075967230636255e-5,NA,NA,Not Significant
6997,398.231898656672,15.472778,0.005128520196060811,72,18,0.5871564584250639,1,0.8,2.0629166822796e-5,-2.4438892033627512e-5,-4.5068058856423515e-5,NA,NA,Not Significant
5757,570.420496508489,14.803999,0.005128520196060811,72,18,0.5871564584250639,1,0.8,6.337400655376e-6,-6.135591144935038e-6,-1.2472991800311038e-5,NA,NA,Not Significant
8623,105.04261211978,16.636168,0.0067283996083474925,71,18,0.5871564584250639,1,0.7749999999999999,6.329098356153361e-4,-0.0037102563770442624,-0.004343166212659599,NA,NA,Not Significant
5894,109.101442269077,15.001516,0.0067283996083474925,71,18,0.5871564584250639,1,0.7749999999999999,1.4031772965130603e-4,-9.842419829417243e-5,-2.3874192794547846e-4,NA,NA,Not Significant
1827,132.065541854964,0.6468944,0.0067283996083474925,71,18,0.5871564584250639,1,0.7749999999999999,1.30065812217618e-4,-4.4277532024871244e-5,-1.7434334424248923e-4,NA,NA,Not Significant
3726,142.070036507573,7.6910667,0.0067283996083474925,9,18,0.5871564584250639,1,-0.775,-8.142110632890575e-6,4.065283615682375e-5,4.8794946789714324e-5,NA,NA,Not Significant
3728,107.070566415356,7.6914015,0.008763529230224835,10,18,0.5871564584250639,1,-0.75,-1.4680590992024002e-5,1.4067841429633873e-4,1.5535900528836273e-4,NA,NA,Not Significant
3730,163.132752760871,7.691843,0.008763529230224835,10,18,0.5871564584250639,1,-0.75,-8.747971830721803e-5,8.429944936777862e-4,9.304742119850042e-4,NA,NA,Not Significant
8574,491.373221334503,16.566414,0.008763529230224835,10,18,0.5871564584250639,1,-0.75,-1.2000118433892785e-5,2.34524494424292e-5,3.545256787632199e-5,NA,NA,Not Significant
8255,610.183243264451,16.1421,0.008763529230224835,70,18,0.5871564584250639,1,0.75,2.551440116431915e-6,-5.5226975864874344e-5,-5.777841598130626e-5,NA,NA,Not Significant
7133,368.219155447951,15.425479,0.011331975645198054,69,18,0.6091984994449878,1,0.7250000000000001,3.488841678731892e-5,-8.296265248942143e-5,-1.1785106927674036e-4,NA,NA,Not Significant
5971,468.38909466586,14.93105,0.011331975645198054,69,18,0.6091984994449878,1,0.7250000000000001,1.0797123983645984e-5,-1.8752317251843976e-5,-2.954944123548996e-5,NA,NA,Not Significant
8455,623.45172620059,16.474884,0.011331975645198054,11,18,0.6091984994449878,1,-0.725,-1.4594758611201736e-5,1.6402753068172477e-5,3.099751167937421e-5,NA,NA,Not Significant
5913,81.0704523119308,14.909035,0.014548023867342993,68,18,0.6091984994449878,1,0.7,1.0213886955876992e-5,-2.0016307628241253e-5,-3.0230194584118245e-5,NA,NA,Not Significant
5875,141.127243324485,14.894805,0.014548023867342993,68,18,0.6091984994449878,1,0.7,4.548150612930361e-6,-4.664855796395412e-6,-9.213006409325773e-6,NA,NA,Not Significant
8917,155.128958597292,16.89301,0.014548023867342993,12,18,0.6091984994449878,1,-0.7,-2.4221607262356998e-5,2.357742069493112e-4,2.599958142116682e-4,NA,NA,Not Significant
6074,294.242310512348,14.89771,0.014548023867342993,68,18,0.6091984994449878,1,0.7,4.7458973121226e-6,-4.2361028404086e-6,-8.9820001525312e-6,NA,NA,Not Significant
8573,493.850996759077,16.565407,0.014548023867342993,12,18,0.6091984994449878,1,-0.7,-1.2202688108893595e-5,1.9035901132956147e-5,3.1238589241849746e-5,NA,NA,Not Significant
8553,735.464176603868,16.55346,0.014548023867342993,68,18,0.6091984994449878,1,0.7,5.209457581620449e-6,-5.314931004525251e-6,-1.05243885861457e-5,NA,NA,Not Significant
9277,82.014209726988,17.027708,0.01854331290326018,13,18,0.6902233136213511,1,-0.675,-5.591086542619997e-6,2.19352836182929e-5,2.7526370160912895e-5,NA,NA,Not Significant
9079,132.076712487988,16.985073,0.01854331290326018,67,18,0.6902233136213511,1,0.675,1.7101834586523098e-4,-1.606442241379012e-4,-3.316625700031322e-4,NA,NA,Not Significant
6069,284.257934007625,14.999798,0.01854331290326018,67,18,0.6902233136213511,1,0.675,2.208404711235031e-6,-8.556993370628672e-6,-1.0765398081863703e-5,NA,NA,Not Significant
9346,112.018090422615,17.030039,0.02346764647609126,14,18,0.7056383381268951,1,-0.65,-0.0011253065667219595,0.001197100076721063,0.0023224066434430228,NA,NA,Not Significant
5884,135.080372671309,14.895022,0.02346764647609126,66,18,0.7056383381268951,1,0.6499999999999999,3.6324343948910924e-5,-1.3351402475275242e-4,-1.6983836870166334e-4,NA,NA,Not Significant
