"PCo1","PCo2","sample_name","Groups"
-0.013581959116947,0.00487553484643745,"S41_pos.mzML","Healthy"
0.00203855965722705,0.012965030632775,"S42_pos.mzML","Healthy"
-0.000811069176342959,0.0062984577695814,"S43_pos.mzML","Healthy"
-0.00663365872734445,0.0104535373117571,"S46_pos.mzML","Healthy"
-0.0110072660107289,-0.0277237655500149,"S21_pos.mzML","PR1"
0.0018657122499988,-0.00506731233577914,"S22_pos.mzML","PR1"
-0.00773737111333081,0.000270851974463707,"S23_pos.mzML","PR1"
0.0152230777533758,0.00960253655743847,"S24_pos.mzML","PR1"
0.00266186503079019,0.000357861934753323,"S26_pos.mzML","PR1"
-0.00716253121040666,-0.000882351394793429,"S27_pos.mzML","PR1"
-0.016754950945918,-0.0115292515425246,"S28_pos.mzML","PR1"
-0.00773267415035183,-0.00141168891135981,"S29_pos.mzML","PR1"
-0.00317886985427297,-0.00670288493884684,"S30_pos.mzML","PR1"
-0.00794865976129341,0.00412134896650878,"S31_pos.mzML","PR2"
-0.0198497911541881,0.00238069803396469,"S32_pos.mzML","PR2"
0.00864593102743734,0.00920799589820931,"S34_pos.mzML","PR2"
0.00322497535343034,0.00608607265013163,"S35_pos.mzML","PR2"
0.00440704815509137,0.00942769585562454,"S36_pos.mzML","PR2"
-0.00532984872762055,0.00107673851912466,"S37_pos.mzML","PR2"
-0.0022488661576588,0.0100338174302824,"S38_pos.mzML","PR2"
-0.00141932951908473,0.0065100528714477,"S39_pos.mzML","PR2"
0.0182772503069364,-0.00566193734309003,"S40_pos.mzML","PR2"
0.00761214432941333,-0.00691036627958659,"S01_pos.mzML","TR1"
0.0239284603847837,-0.024202140376209,"S02_pos.mzML","TR1"
-0.0222055273726389,0.00117926429100736,"S03_pos.mzML","TR1"
0.000616993354285839,0.00432866564613153,"S04_pos.mzML","TR1"
-0.0124201805143698,-0.00683363791003079,"S05_pos.mzML","TR1"
-0.00911514824638614,0.0096347090675095,"S06_pos.mzML","TR1"
0.00508778285480226,0.00509180344564537,"S07_pos.mzML","TR1"
0.0189034277045884,-0.00822675905248634,"S08_pos.mzML","TR1"
0.0114607426094461,0.00748413199003984,"S09_pos.mzML","TR1"
-0.0126534132208791,-0.0208210004479932,"S10_pos.mzML","TR1"
0.00648749732222837,0.00259120569984022,"S11_pos.mzML","TR2"
0.00234747200023981,0.000930854751505559,"S12_pos.mzML","TR2"
0.00330323741240828,0.00690574937253643,"S13_pos.mzML","TR2"
0.00300833026860658,-0.0135628347191416,"S14_pos.mzML","TR2"
0.000202453410447989,-0.0106049991459098,"S15_pos.mzML","TR2"
-0.00113198121301506,0.00211811931782095,"S16_pos.mzML","TR2"
0.0106595443035963,0.00268786782557502,"S17_pos.mzML","TR2"
-0.00557340618077411,0.0140490513504101,"S18_pos.mzML","TR2"
0.0067756972878874,-0.00211046025048396,"S19_pos.mzML","TR2"
0.0177582995965307,0.00158173618772825,"S20_pos.mzML","TR2"
