"PCo1","PCo2","sample_name","Groups"
-0.0179443624980205,-0.0496071668125484,"S41_neg.mzML","Healthy"
0.0167326953049524,0.0409056046276214,"S42_neg.mzML","Healthy"
0.0855654904772402,-0.0678106910297347,"S43_neg.mzML","Healthy"
0.122199554839392,0.00436109218239903,"S46_neg.mzML","Healthy"
0.0506313882607162,0.0828163333377728,"S21_neg.mzML","PR1"
0.0531374625257609,0.0403323784287951,"S22_neg.mzML","PR1"
0.00462113546896717,0.0237961138748229,"S23_neg.mzML","PR1"
0.0296500725076547,0.0731592591810493,"S24_neg.mzML","PR1"
-0.0365782573280114,-0.0266233984055989,"S25_neg.mzML","PR1"
-0.0388280893148354,0.0182158967244852,"S26_neg.mzML","PR1"
-0.0177654416720042,-0.0514333730007078,"S27_neg.mzML","PR1"
-0.0139673075469686,0.0606544981954855,"S28_neg.mzML","PR1"
-0.0496162291558617,-0.0992778456754835,"S29_neg.mzML","PR1"
-0.0293363519605842,-0.043780312692927,"S30_neg.mzML","PR1"
-0.0268536964951195,0.0764378090693541,"S31_neg.mzML","PR2"
0.022569385237993,0.00293037965079674,"S32_neg.mzML","PR2"
-0.00316204489858931,-0.0515144600759389,"S34_neg.mzML","PR2"
-0.152799632697477,-0.0165261118510599,"S35_neg.mzML","PR2"
0.0139208783921409,0.00772146821225784,"S36_neg.mzML","PR2"
-0.0431986219174297,0.0772613935843222,"S37_neg.mzML","PR2"
-0.0682986811380013,-0.00765984642237884,"S38_neg.mzML","PR2"
-0.0557870278183689,0.0410466802618007,"S39_neg.mzML","PR2"
0.0604730413256427,0.0304258416693937,"S40_neg.mzML","PR2"
-0.0437986427607798,0.0013546572314801,"S01_neg.mzML","TR1"
0.0177940668435272,-0.0428834517789896,"S02_neg.mzML","TR1"
0.0162875090580146,-0.0299586646227761,"S03_neg.mzML","TR1"
-0.0815876652373678,-0.00921226190250951,"S04_neg.mzML","TR1"
0.0073226414633348,0.0610397714864263,"S05_neg.mzML","TR1"
-0.0607647008939477,0.00801941001617119,"S06_neg.mzML","TR1"
0.0249636825383016,-0.0587756835769691,"S07_neg.mzML","TR1"
0.0586302959882896,0.0198742602218752,"S08_neg.mzML","TR1"
0.0517970628849546,-0.0964328070226478,"S09_neg.mzML","TR1"
0.0239482551557177,0.00410349399196196,"S10_neg.mzML","TR1"
-0.038816030097234,0.0323266324664521,"S11_neg.mzML","TR2"
0.00243664543595523,0.0105293704283855,"S12_neg.mzML","TR2"
0.0590787263201717,-0.0525229736318086,"S13_neg.mzML","TR2"
0.0229337447548784,0.0309938808574508,"S14_neg.mzML","TR2"
0.059798892242208,0.0438139045102184,"S15_neg.mzML","TR2"
-0.0078028743223731,0.0483937800006724,"S16_neg.mzML","TR2"
-0.012208550299668,0.00380707858262066,"S17_neg.mzML","TR2"
-0.0281988850688366,0.00764317771178027,"S18_neg.mzML","TR2"
-0.0412318890595067,-0.0750942765868483,"S19_neg.mzML","TR2"
0.0640523551551711,-0.0728508414169249,"S20_neg.mzML","TR2"
