row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,fold_change,log2_fold_change
3931,118.039777000686,15.867932,0.00804523748656169,1,10,0.9723205275952295,1,-0.4818181818181818,9.84917696160566e-4,0.0019134239947571103,1.9427247598617365,0.9580815181593046
5288,200.093489995006,16.073454,0.00804523748656169,1,10,0.9723205275952295,1,-0.4818181818181818,2.42247401304615e-4,4.6615554965389607e-4,1.9242953573224375,0.9443302532873472
4922,264.100234032208,16.12601,0.00804523748656169,1,10,0.9723205275952295,1,-0.4818181818181818,2.5316253879432142e-5,5.4255591734524134e-5,2.143112957901065,1.099707892715777
6394,309.174060353433,16.733154,0.00804523748656169,54,10,0.9723205275952295,1,0.4818181818181818,9.644668373922589e-5,4.354193388151743e-5,0.45146118242123096,-1.1473261477923076
3572,120.055444847964,15.590859,0.010826921277131309,53,10,0.9723205275952295,1,0.4636363636363636,0.001517018340304051,5.49677491359031e-4,0.3623407026502138,-1.464581218399715
6902,277.009242902394,16.890808,0.01905889160173045,4,10,0.9723205275952295,1,-0.42727272727272725,3.154954449721869e-5,7.412072989891749e-5,2.349343899575214,1.232257912114277
5862,144.055651531896,16.656866,0.024932455602863113,5,10,0.9723205275952295,1,-0.40909090909090906,3.7066972890255703e-4,5.01836481331229e-4,1.3538642144234916,0.43708305131965913
6191,227.104597976399,16.651293,0.024932455602863113,5,10,0.9723205275952295,1,-0.40909090909090906,5.3038835028475425e-5,1.1102552032476959e-4,2.093287310423812,1.0657703397238214
5429,184.062060753621,16.340317,0.032312911243244105,6,10,0.9723205275952295,1,-0.39090909090909093,2.9414180276923676e-4,6.443321103117099e-4,2.1905492665291377,1.1312926619459533
3898,265.147862300908,15.711845,0.032312911243244105,49,10,0.9723205275952295,1,0.3909090909090909,1.9375161678313456e-4,1.0787679517945261e-4,0.5567788128457204,-0.8448237816604538
6567,92.0239936879964,16.705269,0.04149108738773155,48,10,0.9723205275952295,1,0.3727272727272727,0.002135872708326577,0.0013908347272251257,0.6511786595722846,-0.6188746745118843
6693,133.050784440692,16.853416,0.04149108738773155,48,10,0.9723205275952295,1,0.3727272727272727,6.713914426927269e-4,3.21476939950207e-4,0.47882192042971283,-1.0624388946290335
6368,171.066700612044,16.691572,0.04149108738773155,7,10,0.9723205275952295,1,-0.37272727272727274,0.001121403996617523,0.0016415870455803619,1.4638676610141041,0.5497851346133776
6628,252.100177836551,16.844591,0.04149108738773155,48,10,0.9723205275952295,1,0.3727272727272727,3.481975126839785e-4,2.025873135279198e-4,0.5818172334613618,-0.7813620651025907
3738,121.050697767465,15.636853,0.05278700063222456,8,10,0.9723205275952295,1,-0.35454545454545455,3.004302255792679e-4,4.45335541927604e-4,1.482326024516808,0.5678627905754037
3823,132.055533028693,15.680155,0.05278700063222456,47,10,0.9723205275952295,1,0.3545454545454545,9.188868497602651e-4,3.25845964696058e-4,0.3546094546690599,-1.4956970927107567
4086,134.034811917158,15.9440365,0.05278700063222456,8,10,0.9723205275952295,1,-0.35454545454545455,0.001061898475730478,0.001771583131984996,1.6683168612388557,0.7383933239886641
1785,137.023276938483,7.9731965,0.05278700063222456,47,10,0.9723205275952295,1,0.3545454545454545,5.22790640013273e-4,2.14757559489935e-4,0.4107907507381589,-1.283524396226416
4475,239.104773479129,16.0653,0.05278700063222456,8,10,0.9723205275952295,1,-0.35454545454545455,1.721366808847031e-4,2.5282504249278103e-4,1.4687458895650654,0.5545848141543053
2269,329.2334371241,12.604264,0.05278700063222456,47,10,0.9723205275952295,1,0.3545454545454545,7.46485612431223e-4,5.88407552972507e-4,0.78823696421439,-0.34329868893056226
7175,471.114587294647,17.05871,0.05278700063222456,47,10,0.9723205275952295,1,0.3545454545454545,1.6070065884852216e-4,6.667407063152384e-5,0.4148960627122967,-1.2691781285247419
2631,106.039695845106,14.173291,0.06654572134371613,46,10,0.9723205275952295,1,0.3363636363636363,2.1037340235118625e-4,1.3455500482408708e-4,0.639600839841284,-0.644756261706922
3549,107.034983043922,15.499021,0.06654572134371613,46,10,0.9723205275952295,1,0.3363636363636363,0.001918602635533557,0.0015071639518772144,0.7855529456510296,-0.34821957957922867
6240,117.019391421789,16.634377,0.06654572134371613,9,10,0.9723205275952295,1,-0.33636363636363636,9.01751440855557e-4,0.001188486570389341,1.3179757930430778,0.39832387294276406
3130,121.050687516805,15.188335,0.06654572134371613,46,10,0.9723205275952295,1,0.3363636363636363,2.0554012745654078e-4,7.933492320550535e-5,0.38598265062514303,-1.3733920930406092
6133,131.03512557421,16.689613,0.06654572134371613,9,10,0.9723205275952295,1,-0.33636363636363636,0.012763816189938066,0.019020714582371964,1.4902059305246278,0.575511709491484
6905,145.050852395924,16.885967,0.06654572134371613,46,10,0.9723205275952295,1,0.3363636363636363,0.001496824610749324,0.00110802686516938,0.7402516348356215,-0.4339123233087286
3419,147.066537166522,15.441309,0.06654572134371613,46,10,0.9723205275952295,1,0.3363636363636363,2.9931754042981413e-4,1.5829571051018294e-4,0.5288554432288646,-0.9190546633549518
3145,147.066554824997,15.206212,0.06654572134371613,46,10,0.9723205275952295,1,0.3363636363636363,9.982328834173247e-5,5.6652392945047925e-5,0.5675268154972574,-0.8172395339006694
3525,157.050958317466,15.612209,0.06654572134371613,46,10,0.9723205275952295,1,0.3363636363636363,0.0010320963151123348,5.74990285032051e-4,0.5571091346929847,-0.8439681234123004
