"PCo1","PCo2","sample_name","Groups"
0.0452747201904089,-0.0977234946870557,"S41_pos.mzML","Healthy"
0.138553145977004,-0.0539622425269932,"S42_pos.mzML","Healthy"
0.0380204157830422,0.0476102491840268,"S43_pos.mzML","Healthy"
0.0705429895049717,-0.0701352188867273,"S46_pos.mzML","Healthy"
-0.165081347807595,-0.126049873971396,"S21_pos.mzML","PR1"
0.034627552385266,-0.0409996570421119,"S22_pos.mzML","PR1"
-0.00734003410855938,-0.0198054944668763,"S23_pos.mzML","PR1"
0.0401529167207957,0.0520849504123916,"S24_pos.mzML","PR1"
-0.0117599911804644,-0.0460433010232366,"S26_pos.mzML","PR1"
-0.0111800797337276,-0.107476847800626,"S27_pos.mzML","PR1"
-0.109993968059611,-0.0843147541675812,"S28_pos.mzML","PR1"
-0.0199300405642841,0.00166085063568036,"S29_pos.mzML","PR1"
-0.0230918927320135,0.00460895674240505,"S30_pos.mzML","PR1"
0.0472233643529471,-0.103092904159961,"S31_pos.mzML","PR2"
-0.0256717229196424,0.00433231387395543,"S32_pos.mzML","PR2"
0.0375917512848155,0.0374856423638466,"S34_pos.mzML","PR2"
0.107627532988893,-0.0106132164642774,"S35_pos.mzML","PR2"
0.106579521451964,0.000323685471430972,"S36_pos.mzML","PR2"
-0.0286697229301207,0.0361372315058452,"S37_pos.mzML","PR2"
0.104169621006874,0.00557858136337952,"S38_pos.mzML","PR2"
0.0848497539737323,0.0169193213803876,"S39_pos.mzML","PR2"
-0.0509325519519846,0.106562924603827,"S40_pos.mzML","PR2"
-0.0117638245980414,-0.0619135910507983,"S01_pos.mzML","TR1"
-0.139764414928638,0.0504705102911981,"S02_pos.mzML","TR1"
-0.019088323518255,0.0204729223018686,"S03_pos.mzML","TR1"
-0.00540294383357971,-0.0293706162039659,"S04_pos.mzML","TR1"
-0.061698754897902,-0.0212823135534679,"S05_pos.mzML","TR1"
0.0398129785091653,0.0335277565601751,"S06_pos.mzML","TR1"
0.00600892724009561,0.0627241557994567,"S07_pos.mzML","TR1"
-0.0674996557473875,0.0156905643906331,"S08_pos.mzML","TR1"
0.0293917448742656,0.103203978459808,"S09_pos.mzML","TR1"
-0.116484804571616,0.00818258907014168,"S10_pos.mzML","TR1"
-0.0326431152197645,0.0327742616583535,"S11_pos.mzML","TR2"
-0.0389566443143699,0.0379879519351256,"S12_pos.mzML","TR2"
0.0120125788016576,-0.0185961831820874,"S13_pos.mzML","TR2"
-0.101835493896438,0.0475270342569813,"S14_pos.mzML","TR2"
-0.0446339843653238,0.0370457927578281,"S15_pos.mzML","TR2"
-0.0014764877151443,0.0474074174661007,"S16_pos.mzML","TR2"
0.0144419538831799,0.0847615546692452,"S17_pos.mzML","TR2"
0.0990850623137183,0.00900084792297869,"S18_pos.mzML","TR2"
0.0111200063321647,-0.104596877604787,"S19_pos.mzML","TR2"
0.0278132620194999,0.091894541714878,"S20_pos.mzML","TR2"
