"sample_name","cluster_order"
"S39_neg.mzML",1
"S35_neg.mzML",2
"S38_neg.mzML",3
"S14_neg.mzML",4
"S31_neg.mzML",5
"S12_neg.mzML",6
"S16_neg.mzML",7
"S15_neg.mzML",8
"S19_neg.mzML",9
"S40_neg.mzML",10
"S17_neg.mzML",11
"S36_neg.mzML",12
"S18_neg.mzML",13
"S20_neg.mzML",14
"S37_neg.mzML",15
"S11_neg.mzML",16
"S32_neg.mzML",17
"S34_neg.mzML",18
"S13_neg.mzML",19
