"sample_name","cluster_order"
"S35_pos.mzML",1
"S36_pos.mzML",2
"S38_pos.mzML",3
"S34_pos.mzML",4
"S39_pos.mzML",5
"S19_pos.mzML",6
"S17_pos.mzML",7
"S18_pos.mzML",8
"S20_pos.mzML",9
"S37_pos.mzML",10
"S40_pos.mzML",11
"S13_pos.mzML",12
"S14_pos.mzML",13
"S11_pos.mzML",14
"S31_pos.mzML",15
"S12_pos.mzML",16
"S15_pos.mzML",17
"S32_pos.mzML",18
"S16_pos.mzML",19
