"row.ID","row.m.z","row.retention.time","p_value","statistic","p_adjusted_BH","mean_change_group1","mean_change_group2","log2_fold_change_of_change","significance","label"
8776,397.328241327069,16.76302,0.00291508585837412,6,0.587156458425064,-6.8434246439065e-06,9.75275488672642e-06,-0.511450076515954,"Not Significant",NA
5751,614.446626394337,14.787305,0.00291508585837412,74,0.587156458425064,4.09521632600928e-06,-3.36295942441488e-06,0.284989595023202,"Not Significant",NA
6114,97.1015546962617,15.001301,0.00388068844595654,73,0.587156458425064,1.69222310469597e-05,-6.99227255283125e-06,1.27537805526632,"Not Significant",NA
3729,185.114665665916,7.6914005,0.00388068844595654,7,0.587156458425064,-0.000266688810934372,0.00142262021267607,-2.41532778821595,"Not Significant",NA
6108,312.252730612651,14.895345,0.00512852019606081,72,0.587156458425064,1.04823975430011e-05,-1.55935696876353e-05,-0.572752353986506,"Not Significant",NA
6997,398.231898656672,15.472778,0.00512852019606081,72,0.587156458425064,2.06291668227973e-05,-2.44388920336257e-05,-0.244364358964298,"Not Significant",NA
5757,570.420496508489,14.803999,0.00512852019606081,72,0.587156458425064,6.337400655376e-06,-6.13559114493504e-06,0.0471516614125664,"Not Significant",NA
8623,105.04261211978,16.636168,0.00672839960834749,71,0.587156458425064,0.000632909835615337,-0.00371025637704426,-2.55144431860997,"Not Significant",NA
5894,109.101442269077,15.001516,0.00672839960834749,71,0.587156458425064,0.000140317729651306,-9.84241982941724e-05,0.511637288599817,"Not Significant",NA
1827,132.065541854964,0.6468944,0.00672839960834749,71,0.587156458425064,0.000130065812217619,-4.42775320248708e-05,1.55463875961639,"Not Significant",NA
3726,142.070036507573,7.6910667,0.00672839960834749,9,0.587156458425064,-8.14211063289058e-06,4.06528361568226e-05,-2.3200939640978,"Not Significant",NA
3728,107.070566415356,7.6914015,0.00876352923022483,10,0.587156458425064,-1.46805909920227e-05,0.000140678414296338,-3.26052755661003,"Not Significant",NA
3730,163.132752760871,7.691843,0.00876352923022483,10,0.587156458425064,-8.7479718307217e-05,0.000842994493677785,-3.26852093107349,"Not Significant",NA
8574,491.373221334503,16.566414,0.00876352923022483,10,0.587156458425064,-1.20001184338935e-05,2.345244944243e-05,-0.966871708320439,"Not Significant",NA
8255,610.183243264451,16.1421,0.00876352923022483,70,0.587156458425064,2.55144011643221e-06,-5.52269758648753e-05,-4.43539798768973,"Not Significant",NA
7133,368.219155447951,15.425479,0.0113319756451981,69,0.609198499444988,3.48884167873211e-05,-8.29626524894225e-05,-1.24965514947271,"Not Significant",NA
5971,468.38909466586,14.93105,0.0113319756451981,69,0.609198499444988,1.0797123983646e-05,-1.8752317251844e-05,-0.796211259361823,"Not Significant",NA
8455,623.45172620059,16.474884,0.0113319756451981,11,0.609198499444988,-1.45947586112017e-05,1.64027530681725e-05,-0.16867443541339,"Not Significant",NA
5913,81.0704523119308,14.909035,0.014548023867343,68,0.609198499444988,1.02138869558773e-05,-2.00163076282445e-05,-0.970430551188828,"Not Significant",NA
5875,141.127243324485,14.894805,0.014548023867343,68,0.609198499444988,4.54815061293036e-06,-4.66485579639541e-06,-0.0359259819113435,"Not Significant",NA
8917,155.128958597292,16.89301,0.014548023867343,12,0.609198499444988,-2.42216072623585e-05,0.000235774206949311,-3.2831050769862,"Not Significant",NA
6074,294.242310512348,14.89771,0.014548023867343,68,0.609198499444988,4.7458973121226e-06,-4.2361028404086e-06,0.16458783807134,"Not Significant",NA
8573,493.850996759077,16.565407,0.014548023867343,12,0.609198499444988,-1.22026881088952e-05,1.90359011329577e-05,-0.641717893719469,"Not Significant",NA
8553,735.464176603868,16.55346,0.014548023867343,68,0.609198499444988,5.20945758162045e-06,-5.31493100452525e-06,-0.0283694208277532,"Not Significant",NA
9277,82.014209726988,17.027708,0.0185433129032602,13,0.690223313621351,-5.5910865426226e-06,2.19352836182935e-05,-1.97237660586377,"Not Significant",NA
9079,132.076712487988,16.985073,0.0185433129032602,67,0.690223313621351,0.000171018345865231,-0.000160644224137901,0.0902994034921193,"Not Significant",NA
6069,284.257934007625,14.999798,0.0185433129032602,67,0.690223313621351,2.20840471123503e-06,-8.55699337062867e-06,-1.95327765380443,"Not Significant",NA
9346,112.018090422615,17.030039,0.0234676464760913,14,0.705638338126895,-0.00112530656672196,0.00119710007672106,-0.0892281651153993,"Not Significant",NA
5884,135.080372671309,14.895022,0.0234676464760913,66,0.705638338126895,3.63243439489109e-05,-0.000133514024752752,-1.87793212641181,"Not Significant",NA
9323,165.067189467556,17.02898,0.0234676464760913,14,0.705638338126895,-9.66561675344837e-06,1.47996683528776e-05,-0.614877895834456,"Not Significant",NA
7478,265.252177358697,15.699059,0.0234676464760913,66,0.705638338126895,-1.59961512423447e-06,-1.26857893740127e-05,2.98820501558623,"Not Significant",NA
6088,368.219212433543,14.894807,0.0234676464760913,66,0.705638338126895,3.3390570793418e-05,-8.9141373214262e-05,-1.41659503955856,"Not Significant",NA
8500,579.425593645022,16.503954,0.0234676464760913,14,0.705638338126895,-5.96820922471571e-06,1.7282316990422e-05,-1.53425185686939,"Not Significant",NA
8899,74.0970547934691,16.87788,0.0294893633844076,15,0.705638338126895,-0.00044461852740337,0.00343453406138777,-2.94947808476032,"Not Significant",NA
9497,102.037651540422,17.037348,0.0294893633844076,15,0.705638338126895,-6.65076767987567e-05,-2.98736453075276e-06,-4.47703700025218,"Not Significant",NA
9291,131.538611304739,17.029192,0.0294893633844076,65,0.705638338126895,4.00462895173516e-05,-5.59214300240213e-06,2.84048945160147,"Not Significant",NA
