"m.z","retention_time","kw_statistic","kw_p_value","kw_p_adj_bh","group1","group2","posthoc_p_adj"
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"PR1","Healthy",0.0808080808080808
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"PR2","Healthy",0.758698092031425
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"PR2","PR1",0.00932400932400932
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"TR1","Healthy",0.004995004995005
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"TR1","PR1",0.246877305700835
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"TR1","PR2",0.000228529640294346
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"TR2","Healthy",0.004995004995005
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"TR2","PR1",0.828557063851181
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"TR2","PR2",0.000228529640294346
107.070566415356,7.6914015,22.4970731707317,0.000159553683622767,0.0368627759690259,"TR2","TR1",0.440851717941501
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"PR1","Healthy",0.0808080808080808
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"PR2","Healthy",0.305916305916306
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"PR2","PR1",0.013986013986014
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"TR1","Healthy",0.004995004995005
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"TR1","PR1",0.633438456967869
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"TR1","PR2",0.000228529640294346
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"TR2","Healthy",0.004995004995005
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"TR2","PR1",0.633438456967869
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"TR2","PR2",0.000228529640294346
142.070036507573,7.6910667,22.1935975609756,0.000183396895368288,0.0368627759690259,"TR2","TR1",0.491310160427808
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"PR1","Healthy",0.0808080808080808
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"PR2","Healthy",0.408529741863075
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"PR2","PR1",0.00932400932400932
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"TR1","Healthy",0.004995004995005
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"TR1","PR1",0.408529741863075
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"TR1","PR2",0.000228529640294346
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"TR2","Healthy",0.004995004995005
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"TR2","PR1",0.896750308515014
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"TR2","PR2",0.000228529640294346
163.132752760871,7.691843,22.3157926829269,0.000173398615491769,0.0368627759690259,"TR2","TR1",0.408529741863075
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"PR1","Healthy",0.0808080808080808
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"PR2","Healthy",0.191919191919192
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"PR2","PR1",0.013986013986014
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"TR1","Healthy",0.004995004995005
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"TR1","PR1",0.144430732666027
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"TR1","PR2",0.000228529640294346
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"TR2","Healthy",0.004995004995005
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"TR2","PR1",0.696466931761049
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"TR2","PR2",0.000228529640294346
185.114665665916,7.6914005,22.8539634146341,0.000135422416374962,0.0368627759690259,"TR2","TR1",0.241736247928198
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"PR1","Healthy",0.0808080808080808
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"PR2","Healthy",0.103896103896104
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"PR2","PR1",0.162975912975913
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"TR1","Healthy",0.015984015984016
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"TR1","PR1",0.828557063851181
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"TR1","PR2",0.304756971423638
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"TR2","Healthy",0.00666000666000666
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"TR2","PR1",0.00274235568353215
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"TR2","PR2",0.000914118561177385
227.124975845399,11.283274,22.5164634146342,0.000158139339201975,0.0368627759690259,"TR2","TR1",0.00971551668146095
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"PR1","Healthy",0.0202020202020202
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"PR2","Healthy",0.0342032694973871
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"PR2","PR1",0.14985014985015
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"TR1","Healthy",0.01998001998002
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"TR1","PR1",0.63622651857946
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"TR1","PR2",0.182138123314594
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"TR2","Healthy",0.0342032694973871
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"TR2","PR1",0.0342032694973871
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"TR2","PR2",0.896750308515014
97.0288272059363,0.49910513,16.3536585365854,0.00257953141423394,0.288047674589456,"TR2","TR1",0.0342032694973871
132.065541854964,0.6468944,16.6703048780488,0.00223980754923222,0.288047674589456,"PR1","Healthy",0.0101010101010101
132.065541854964,0.6468944,16.6703048780488,0.00223980754923222,0.288047674589456,"PR2","Healthy",0.0101010101010101
132.065541854964,0.6468944,16.6703048780488,0.00223980754923222,0.288047674589456,"PR2","PR1",0.561512561512561
132.065541854964,0.6468944,16.6703048780488,0.00223980754923222,0.288047674589456,"TR1","Healthy",0.0101010101010101
132.065541854964,0.6468944,16.6703048780488,0.00223980754923222,0.288047674589456,"TR1","PR1",0.761826408885232
