"m.z","retention_time","kw_statistic","kw_p_value","kw_p_adj_bh","group1","group2","posthoc_p_adj"
110.034644210881,15.957519,7.26000000000001,0.00705072911042272,0.521876784390343,"TR","PR",0.00567234622962177
116.024098856242,16.918753,9.12666666666667,0.00251910284534221,0.521876784390343,"TR","PR",0.00145056182207885
120.055444847964,15.590859,8.16666666666667,0.00426672482217612,0.521876784390343,"TR","PR",0.00298772434995345
130.039872940493,15.151573,7.70666666666666,0.00550172515432421,0.521876784390343,"TR","PR",0.00413518370174717
133.922413762241,16.877762,8.16666666666667,0.00426672482217612,0.521876784390343,"TR","PR",0.00298772434995345
145.050899763861,15.152887,10.14,0.00145086163336065,0.521876784390343,"TR","PR",0.000649505293468142
159.066639700585,16.367802,6.82666666666667,0.00898067124189884,0.521876784390343,"TR","PR",0.0076208621100262
159.066650460406,15.432304,6.82666666666667,0.00898067124189884,0.521876784390343,"TR","PR",0.0076208621100262
159.066680777414,15.169439,6.82666666666667,0.00898067124189884,0.521876784390343,"TR","PR",0.0076208621100262
83.0236220138386,16.636652,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
106.039695845106,14.173291,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
117.019391421789,16.634377,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
131.03512557421,16.689613,4.16666666666666,0.041226833337164,0.616046681009622,"TR","PR",0.0434735543094676
134.034811917158,15.9440365,5.22666666666666,0.02224312059135,0.616046681009622,"TR","PR",0.02201822944857
134.034820643639,15.17507,6,0.0143058784354296,0.616046681009622,"TR","PR",0.013271558163199
145.050835200516,15.966126,5.22666666666666,0.02224312059135,0.616046681009622,"TR","PR",0.02201822944857
145.050845258877,15.616678,4.86000000000001,0.0274863361115101,0.616046681009622,"TR","PR",0.0279287276191301
146.960121399058,0.49927115,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
147.066554824997,15.206212,5.60666666666667,0.0178922676130193,0.616046681009622,"TR","PR",0.0172118902769058
155.035299645591,16.70867,4.16666666666666,0.041226833337164,0.616046681009622,"TR","PR",0.0434735543094676
157.050958317466,15.612209,4.16666666666666,0.041226833337164,0.616046681009622,"TR","PR",0.0434735543094676
158.046186215076,15.870075,4.86000000000001,0.0274863361115101,0.616046681009622,"TR","PR",0.0279287276191301
158.046190751484,16.10224,4.86000000000001,0.0274863361115101,0.616046681009622,"TR","PR",0.0279287276191301
186.077735804051,15.175608,6,0.0143058784354296,0.616046681009622,"TR","PR",0.013271558163199
195.138378506378,13.268635,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
200.093489995006,16.073454,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
209.154170746935,12.538137,4.16666666666666,0.041226833337164,0.616046681009622,"TR","PR",0.0434735543094676
211.073201359281,16.070013,4.16666666666666,0.041226833337164,0.616046681009622,"TR","PR",0.0434735543094676
225.088969535117,16.891321,4.16666666666666,0.041226833337164,0.616046681009622,"TR","PR",0.0434735543094676
239.128658074006,13.268183,5.22666666666666,0.02224312059135,0.616046681009622,"TR","PR",0.02201822944857
252.100177836551,16.844591,4.86000000000001,0.0274863361115101,0.616046681009622,"TR","PR",0.0279287276191301
265.147888846183,15.107723,4.16666666666666,0.041226833337164,0.616046681009622,"TR","PR",0.0434735543094676
345.109192533146,14.266891,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
353.200356389703,16.332447,4.50666666666666,0.0337629775534038,0.616046681009622,"TR","PR",0.0349866851414839
398.233544377516,15.932391,4.86000000000001,0.0274863361115101,0.616046681009622,"TR","PR",0.0279287276191301
83.0236292012907,16.899805,3.22666666666667,0.0724480135297866,0.679997146749216,"TR","PR",0.0788932429799303
90.0083416795648,16.3404,1.92666666666667,0.165123590128394,0.679997146749216,"TR","PR",0.182316135876507
92.0239945779022,15.929466,2.16000000000001,0.141644690295136,0.679997146749216,"TR","PR",0.156400874667129
92.0239967305958,16.47494,2.66666666666666,0.10247043485975,0.679997146749216,"TR","PR",0.112754118946069
106.039694584803,14.862858,3.22666666666667,0.0724480135297866,0.679997146749216,"TR","PR",0.0788932429799303
106.039694832597,15.965446,2.93999999999999,0.0864107329737011,0.679997146749216,"TR","PR",0.094719521964104
108.018976070027,16.447096,2.93999999999999,0.0864107329737011,0.679997146749216,"TR","PR",0.094719521964104
112.984331756441,16.957169,2.16000000000001,0.141644690295136,0.679997146749216,"TR","PR",0.156400874667129
116.024106107155,16.646412,2.93999999999999,0.0864107329737011,0.679997146749216,"TR","PR",0.094719521964104
116.024116235761,15.631828,3.52666666666667,0.0603890813092702,0.679997146749216,"TR","PR",0.0652536318170993
117.019397510935,16.850025,2.93999999999999,0.0864107329737011,0.679997146749216,"TR","PR",0.094719521964104
118.039784284839,16.452997,1.92666666666666,0.165123590128395,0.679997146749216,"TR","PR",0.182316135876507
120.055445713073,15.183693,2.16000000000001,0.141644690295136,0.679997146749216,"TR","PR",0.156400874667129
121.050687516805,15.188335,2.93999999999999,0.0864107329737011,0.679997146749216,"TR","PR",0.094719521964104
121.050697767465,15.636853,3.52666666666667,0.0603890813092702,0.679997146749216,"TR","PR",0.0652536318170993
128.03410707055,16.046707,2.16000000000001,0.141644690295136,0.679997146749216,"TR","PR",0.156400874667129
130.039874634974,16.691254,2.40666666666667,0.120819386535671,0.679997146749216,"TR","PR",0.133300136396112
