"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy","1",4,0,0,0.0016318510129476,0.00147292846338649,0.000605620861029331,37.1125094278922
"TR","1",10,0,0,0.00200170182790588,0.00154761179762914,0.00170325986018556,85.0905882404805
