"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy","1",4,0,0,7.36586458627919e-05,7.99533620352978e-05,2.85112532298471e-05,38.7072731189719
"TR","1",10,0,0,6.29891056304738e-05,5.82696323562771e-05,3.39705392319503e-05,53.9308169117987
