"Group","Timepoint","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"Healthy","1",4,0,0,0.000152890993773109,0.000151035159452809,7.36024522371295e-05,48.1404760481548
"TR","1",10,0,0,0.000253641025235606,0.000115453640425392,0.000309819030180622,122.148627136652
