"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",8,0,0,0.000333178868272545,0.000309612687965668,6.09064846543566e-05,18.280416453223
"TR",10,0,0,0.000179574003580658,0.000177876455988128,3.69323983532571e-05,20.5666731357741
