"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",8,0,0,5.67637907351786e-05,5.9377332670285e-05,5.3991488094577e-06,9.51160720510452
"TR",10,0,0,6.45169851062353e-05,6.64982136035114e-05,5.43872476325507e-06,8.4299115253131
