"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",8,0,0,4.56970046277212e-05,2.72710953033039e-05,3.38467731684855e-05,74.0678157008852
"TR",10,0,0,8.3137466745607e-05,8.27554714677706e-05,2.3365059021726e-05,28.1041267389357
