"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",8,0,0,2.37600783711555e-05,2.49419982058545e-05,8.12929277539879e-06,34.2140823292387
"TR",10,0,0,4.532222190281e-05,4.44209739730056e-05,1.79292083813076e-05,39.5594205856795
