"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",8,0,0,0.000188356253840376,0.000193053018470581,1.48884333895531e-05,7.90440088183665
"TR",10,0,0,0.000173869149173245,0.00017145922702959,1.61278462564207e-05,9.27585275082399
