"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",8,0,0,0.000274698320658575,0.000155667651990163,0.000362829699424171,132.082969620748
"TR",10,0,0,0.000229129071813893,8.16326243715678e-05,0.000467874663100721,204.19698792336
