"Group","n_samples","n_zeros","zero_percent","mean_intensity","median_intensity","sd_intensity","cv_percent"
"PR",8,0,0,0.00209228020578322,0.00192247702200729,0.000417314754955904,19.9454525164658
"TR",10,0,0,0.00112390200278752,0.00111722482664114,0.000240665156970026,21.4133577814725
